parent	child	pos_P	pos_C	gender_P	gender_C	aspect_P	aspect_C	poses_P	poses_C	same_start	same_end	one_gram_P_start	two_gram_P_start	three_gram_P_start	four_gram_P_start	five_gram_P_start	six_gram_P_start	one_gram_C_start	two_gram_C_start	three_gram_C_start	four_gram_C_start	five_gram_C_start	six_gram_C_start	six_gram_P_end	five_gram_P_end	four_gram_P_end	three_gram_P_end	two_gram_P_end	one_gram_P_end	six_gram_C_end	five_gram_C_end	four_gram_C_end	three_gram_C_end	two_gram_C_end	one_gram_C_end	label
virtuos	virtuoska	N	N	M	F	NA	NA	0	0	1	0	v	vi	vir	virt	virtu	virtuo	v	vi	vir	virt	virtu	virtuo	irtuos	rtuos	tuos	uos	os	s	tuoska	uoska	oska	ska	ka	a	FEMALE
viržinkářka	viržinkářčin	N	A	F	NA	NA	NA	0	1	1	0	v	vi	vir	virž	virži	viržin	v	vi	vir	virž	virži	viržin	nkářka	kářka	ářka	řka	ka	a	kářčin	ářčin	řčin	čin	in	n	POSSESSIVE
višeň	višínka	N	N	F	F	NA	NA	0	0	1	0	v	vi	viš	više	višeň	NA	v	vi	viš	viší	višín	višínk	NA	višeň	išeň	šeň	eň	ň	išínka	šínka	ínka	nka	ka	a	DIMINUTIVE
visitátorka	visitátorčin	N	A	F	NA	NA	NA	0	1	1	0	v	vi	vis	visi	visit	visitá	v	vi	vis	visi	visit	visitá	átorka	torka	orka	rka	ka	a	torčin	orčin	rčin	čin	in	n	POSSESSIVE
višňovka	višňovička	N	N	F	F	NA	NA	0	0	1	1	v	vi	viš	višň	višňo	višňov	v	vi	viš	višň	višňo	višňov	šňovka	ňovka	ovka	vka	ka	a	ovička	vička	ička	čka	ka	a	DIMINUTIVE
vítání	vítáníčko	N	N	N	N	NA	NA	0	0	1	0	v	ví	vít	vítá	vítán	vítání	v	ví	vít	vítá	vítán	vítání	vítání	ítání	tání	ání	ní	í	áníčko	níčko	íčko	čko	ko	o	DIMINUTIVE
vítatel	vítatelka	N	N	M	F	NA	NA	0	0	1	0	v	ví	vít	víta	vítat	vítate	v	ví	vít	víta	vítat	vítate	ítatel	tatel	atel	tel	el	l	atelka	telka	elka	lka	ka	a	FEMALE
vítat	vítávat	V	V	NA	NA	I	I	0	0	1	1	v	ví	vít	víta	vítat	NA	v	ví	vít	vítá	vítáv	vítáva	NA	vítat	ítat	tat	at	t	ítávat	távat	ávat	vat	at	t	ITERATIVE
vítězit	vítězívat	V	V	NA	NA	I	I	0	0	1	1	v	ví	vít	vítě	vítěz	vítězi	v	ví	vít	vítě	vítěz	vítězí	ítězit	tězit	ězit	zit	it	t	ězívat	zívat	ívat	vat	at	t	ITERATIVE
Vít	Vítek	N	N	M	M	NA	NA	0	0	1	0	V	Ví	Vít	NA	NA	NA	V	Ví	Vít	Víte	Vítek	NA	NA	NA	NA	Vít	ít	t	NA	Vítek	ítek	tek	ek	k	DIMINUTIVE
vitrážistka	vitrážistčin	N	A	F	NA	NA	NA	0	1	1	0	v	vi	vit	vitr	vitrá	vitráž	v	vi	vit	vitr	vitrá	vitráž	žistka	istka	stka	tka	ka	a	istčin	stčin	tčin	čin	in	n	POSSESSIVE
vitrína	vitrínka	N	N	F	F	NA	NA	0	0	1	1	v	vi	vit	vitr	vitrí	vitrín	v	vi	vit	vitr	vitrí	vitrín	itrína	trína	rína	ína	na	a	trínka	rínka	ínka	nka	ka	a	DIMINUTIVE
vítr	větřík	N	N	I	I	NA	NA	0	0	0	0	v	ví	vít	vítr	NA	NA	v	vě	vět	větř	větří	větřík	NA	NA	vítr	ítr	tr	r	větřík	ětřík	třík	řík	ík	k	DIMINUTIVE
vjet	vjíždět	V	V	NA	NA	P	I	0	0	1	1	v	vj	vje	vjet	NA	NA	v	vj	vjí	vjíž	vjížd	vjíždě	NA	NA	vjet	jet	et	t	jíždět	íždět	ždět	dět	ět	t	ASPECT
vjíždět	vjíždívat	V	V	NA	NA	I	I	0	0	1	1	v	vj	vjí	vjíž	vjížd	vjíždě	v	vj	vjí	vjíž	vjížd	vjíždí	jíždět	íždět	ždět	dět	ět	t	ždívat	dívat	ívat	vat	at	t	ITERATIVE
vkapat	vkapávat	V	V	NA	NA	P	I	0	0	1	1	v	vk	vka	vkap	vkapa	vkapat	v	vk	vka	vkap	vkapá	vkapáv	vkapat	kapat	apat	pat	at	t	apávat	pávat	ávat	vat	at	t	ASPECT
vkladatel	vkladatelka	N	N	M	F	NA	NA	0	0	1	0	v	vk	vkl	vkla	vklad	vklada	v	vk	vkl	vkla	vklad	vklada	adatel	datel	atel	tel	el	l	atelka	telka	elka	lka	ka	a	FEMALE
vkládat	vkládávat	V	V	NA	NA	I	I	0	0	1	1	v	vk	vkl	vklá	vklád	vkláda	v	vk	vkl	vklá	vklád	vkládá	kládat	ládat	ádat	dat	at	t	ádávat	dávat	ávat	vat	at	t	ITERATIVE
vklad	vkládek	N	N	I	I	NA	NA	0	0	1	0	v	vk	vkl	vkla	vklad	NA	v	vk	vkl	vklá	vklád	vkláde	NA	vklad	klad	lad	ad	d	kládek	ládek	ádek	dek	ek	k	DIMINUTIVE
vklepat	vklepávat	V	V	NA	NA	P	I	0	0	1	1	v	vk	vkl	vkle	vklep	vklepa	v	vk	vkl	vkle	vklep	vklepá	klepat	lepat	epat	pat	at	t	epávat	pávat	ávat	vat	at	t	ASPECT
vklínit	vkliňovat	V	V	NA	NA	P	I	0	0	1	1	v	vk	vkl	vklí	vklín	vklíni	v	vk	vkl	vkli	vkliň	vkliňo	klínit	línit	ínit	nit	it	t	iňovat	ňovat	ovat	vat	at	t	ASPECT
vkolébat	vkolébávat	V	V	NA	NA	P	I	0	0	1	1	v	vk	vko	vkol	vkolé	vkoléb	v	vk	vko	vkol	vkolé	vkoléb	olébat	lébat	ébat	bat	at	t	ébávat	bávat	ávat	vat	at	t	ASPECT
vkomponovat	vkomponovávat	V	V	NA	NA	P	I	0	0	1	1	v	vk	vko	vkom	vkomp	vkompo	v	vk	vko	vkom	vkomp	vkompo	onovat	novat	ovat	vat	at	t	ovávat	vávat	ávat	vat	at	t	ASPECT
vkoupit	vkupovat	V	V	NA	NA	P	I	0	0	1	1	v	vk	vko	vkou	vkoup	vkoupi	v	vk	vku	vkup	vkupo	vkupov	koupit	oupit	upit	pit	it	t	upovat	povat	ovat	vat	at	t	ASPECT
vkrádat	vkrádávat	V	V	NA	NA	I	I	0	0	1	1	v	vk	vkr	vkrá	vkrád	vkráda	v	vk	vkr	vkrá	vkrád	vkrádá	krádat	rádat	ádat	dat	at	t	ádávat	dávat	ávat	vat	at	t	ITERATIVE
vkrást	vkrádat	V	V	NA	NA	P	I	0	0	1	1	v	vk	vkr	vkrá	vkrás	vkrást	v	vk	vkr	vkrá	vkrád	vkráda	vkrást	krást	rást	ást	st	t	krádat	rádat	ádat	dat	at	t	ASPECT
vkreslit	vkreslovat	V	V	NA	NA	P	I	0	0	1	1	v	vk	vkr	vkre	vkres	vkresl	v	vk	vkr	vkre	vkres	vkresl	reslit	eslit	slit	lit	it	t	slovat	lovat	ovat	vat	at	t	ASPECT
vláčet	vláčit	V	V	NA	NA	I	I	0	0	1	1	v	vl	vlá	vláč	vláče	vláčet	v	vl	vlá	vláč	vláči	vláčit	vláčet	láčet	áčet	čet	et	t	vláčit	láčit	áčit	čit	it	t	ASPECT
vláčet	vláčívat	V	V	NA	NA	I	I	0	0	1	1	v	vl	vlá	vláč	vláče	vláčet	v	vl	vlá	vláč	vláčí	vláčív	vláčet	láčet	áčet	čet	et	t	áčívat	čívat	ívat	vat	at	t	ITERATIVE
vláda	vládička	N	N	F	F	NA	NA	0	0	1	1	v	vl	vlá	vlád	vláda	NA	v	vl	vlá	vlád	vládi	vládič	NA	vláda	láda	áda	da	a	ádička	dička	ička	čka	ka	a	DIMINUTIVE
vladař	vladařka	N	N	M	F	NA	NA	0	0	1	0	v	vl	vla	vlad	vlada	vladař	v	vl	vla	vlad	vlada	vladař	vladař	ladař	adař	dař	ař	ř	adařka	dařka	ařka	řka	ka	a	FEMALE
Vladek	Vladka	N	N	M	F	NA	NA	0	0	1	0	V	Vl	Vla	Vlad	Vlade	Vladek	V	Vl	Vla	Vlad	Vladk	Vladka	Vladek	ladek	adek	dek	ek	k	Vladka	ladka	adka	dka	ka	a	FEMALE
Vladika	Vladikův	N	A	M	NA	NA	NA	0	1	1	0	V	Vl	Vla	Vlad	Vladi	Vladik	V	Vl	Vla	Vlad	Vladi	Vladik	ladika	adika	dika	ika	ka	a	adikův	dikův	ikův	kův	ův	v	POSSESSIVE
Vladík	Vladíček	N	N	M	M	NA	NA	0	0	1	1	V	Vl	Vla	Vlad	Vladí	Vladík	V	Vl	Vla	Vlad	Vladí	Vladíč	Vladík	ladík	adík	dík	ík	k	adíček	díček	íček	ček	ek	k	DIMINUTIVE
Vladík	Vladínek	N	N	M	M	NA	NA	0	0	1	1	V	Vl	Vla	Vlad	Vladí	Vladík	V	Vl	Vla	Vlad	Vladí	Vladín	Vladík	ladík	adík	dík	ík	k	adínek	dínek	ínek	nek	ek	k	DIMINUTIVE
Vladimír	Vladimíra	N	N	M	F	NA	NA	0	0	1	0	V	Vl	Vla	Vlad	Vladi	Vladim	V	Vl	Vla	Vlad	Vladi	Vladim	adimír	dimír	imír	mír	ír	r	dimíra	imíra	míra	íra	ra	a	FEMALE
Vladimír	Vladimírek	N	N	M	M	NA	NA	0	0	1	0	V	Vl	Vla	Vlad	Vladi	Vladim	V	Vl	Vla	Vlad	Vladi	Vladim	adimír	dimír	imír	mír	ír	r	imírek	mírek	írek	rek	ek	k	DIMINUTIVE
Vladislav	Vladislava	N	N	M	F	NA	NA	0	0	1	0	V	Vl	Vla	Vlad	Vladi	Vladis	V	Vl	Vla	Vlad	Vladi	Vladis	dislav	islav	slav	lav	av	v	islava	slava	lava	ava	va	a	FEMALE
Vladka	Vladčin	N	A	M	NA	NA	NA	0	1	1	0	V	Vl	Vla	Vlad	Vladk	Vladka	V	Vl	Vla	Vlad	Vladč	Vladči	Vladka	ladka	adka	dka	ka	a	ladčin	adčin	dčin	čin	in	n	POSSESSIVE
vlahý	vlahoučký	A	A	NA	NA	NA	NA	0	0	1	1	v	vl	vla	vlah	vlahý	NA	v	vl	vla	vlah	vlaho	vlahou	NA	vlahý	lahý	ahý	hý	ý	houčký	oučký	učký	čký	ký	ý	DIMINUTIVE
vlajka	vlajčička	N	N	F	F	NA	NA	0	0	1	1	v	vl	vla	vlaj	vlajk	vlajka	v	vl	vla	vlaj	vlajč	vlajči	vlajka	lajka	ajka	jka	ka	a	jčička	čička	ička	čka	ka	a	DIMINUTIVE
vlajka	vlaječka	N	N	F	F	NA	NA	0	0	1	1	v	vl	vla	vlaj	vlajk	vlajka	v	vl	vla	vlaj	vlaje	vlaječ	vlajka	lajka	ajka	jka	ka	a	aječka	ječka	ečka	čka	ka	a	DIMINUTIVE
vlajkonoška	vlajkonoščin	N	A	F	NA	NA	NA	0	1	1	0	v	vl	vla	vlaj	vlajk	vlajko	v	vl	vla	vlaj	vlajk	vlajko	onoška	noška	oška	ška	ka	a	noščin	oščin	ščin	čin	in	n	POSSESSIVE
vlajkonoš	vlajkonoška	N	N	M	F	NA	NA	0	0	1	0	v	vl	vla	vlaj	vlajk	vlajko	v	vl	vla	vlaj	vlajk	vlajko	jkonoš	konoš	onoš	noš	oš	š	onoška	noška	oška	ška	ka	a	FEMALE
vlákno	vlákénko	N	N	N	N	NA	NA	0	0	1	1	v	vl	vlá	vlák	vlákn	vlákno	v	vl	vlá	vlák	vláké	vlákén	vlákno	lákno	ákno	kno	no	o	ákénko	kénko	énko	nko	ko	o	DIMINUTIVE
vlákno	vlákýnko	N	N	N	N	NA	NA	0	0	1	1	v	vl	vlá	vlák	vlákn	vlákno	v	vl	vlá	vlák	vláký	vlákýn	vlákno	lákno	ákno	kno	no	o	ákýnko	kýnko	ýnko	nko	ko	o	DIMINUTIVE
Vlámka	Vlámčin	N	A	F	NA	NA	NA	0	1	1	0	V	Vl	Vlá	Vlám	Vlámk	Vlámka	V	Vl	Vlá	Vlám	Vlámč	Vlámči	Vlámka	lámka	ámka	mka	ka	a	lámčin	ámčin	mčin	čin	in	n	POSSESSIVE
Vlám	Vlámka	N	N	M	F	NA	NA	0	0	1	0	V	Vl	Vlá	Vlám	NA	NA	V	Vl	Vlá	Vlám	Vlámk	Vlámka	NA	NA	Vlám	lám	ám	m	Vlámka	lámka	ámka	mka	ka	a	FEMALE
vlasáč	vlasáček	N	N	M	M	NA	NA	0	0	1	0	v	vl	vla	vlas	vlasá	vlasáč	v	vl	vla	vlas	vlasá	vlasáč	vlasáč	lasáč	asáč	sáč	áč	č	asáček	sáček	áček	ček	ek	k	DIMINUTIVE
vlasařka	vlasařčin	N	A	F	NA	NA	NA	0	1	1	0	v	vl	vla	vlas	vlasa	vlasař	v	vl	vla	vlas	vlasa	vlasař	asařka	sařka	ařka	řka	ka	a	sařčin	ařčin	řčin	čin	in	n	POSSESSIVE
vlasař	vlasařka	N	N	M	F	NA	NA	0	0	1	0	v	vl	vla	vlas	vlasa	vlasař	v	vl	vla	vlas	vlasa	vlasař	vlasař	lasař	asař	sař	ař	ř	asařka	sařka	ařka	řka	ka	a	FEMALE
vlas	vlásek	N	N	I	I	NA	NA	0	0	1	0	v	vl	vla	vlas	NA	NA	v	vl	vlá	vlás	vláse	vlásek	NA	NA	vlas	las	as	s	vlásek	lásek	ásek	sek	ek	k	DIMINUTIVE
vlastenec	vlasteneček	N	N	M	M	NA	NA	0	0	1	0	v	vl	vla	vlas	vlast	vlaste	v	vl	vla	vlas	vlast	vlaste	stenec	tenec	enec	nec	ec	c	eneček	neček	eček	ček	ek	k	DIMINUTIVE
vlastenec	vlastenka	N	N	M	F	NA	NA	0	0	1	0	v	vl	vla	vlas	vlast	vlaste	v	vl	vla	vlas	vlast	vlaste	stenec	tenec	enec	nec	ec	c	stenka	tenka	enka	nka	ka	a	FEMALE
vlastenka	vlastenčin	N	A	F	NA	NA	NA	0	1	1	0	v	vl	vla	vlas	vlast	vlaste	v	vl	vla	vlas	vlast	vlaste	stenka	tenka	enka	nka	ka	a	tenčin	enčin	nčin	čin	in	n	POSSESSIVE
Vlastička	Vlastiččin	N	A	F	NA	NA	NA	0	1	1	0	V	Vl	Vla	Vlas	Vlast	Vlasti	V	Vl	Vla	Vlas	Vlast	Vlasti	stička	tička	ička	čka	ka	a	tiččin	iččin	ččin	čin	in	n	POSSESSIVE
Vlastík	Vlastíček	N	N	M	M	NA	NA	0	0	1	1	V	Vl	Vla	Vlas	Vlast	Vlastí	V	Vl	Vla	Vlas	Vlast	Vlastí	lastík	astík	stík	tík	ík	k	stíček	tíček	íček	ček	ek	k	DIMINUTIVE
Vlastík	Vlastička	N	N	M	F	NA	NA	0	0	1	0	V	Vl	Vla	Vlas	Vlast	Vlastí	V	Vl	Vla	Vlas	Vlast	Vlasti	lastík	astík	stík	tík	ík	k	stička	tička	ička	čka	ka	a	FEMALE
Vlastimilka	Vlastimilčin	N	A	F	NA	NA	NA	0	1	1	0	V	Vl	Vla	Vlas	Vlast	Vlasti	V	Vl	Vla	Vlas	Vlast	Vlasti	imilka	milka	ilka	lka	ka	a	milčin	ilčin	lčin	čin	in	n	POSSESSIVE
Vlastislava	Vlastislavin	N	A	M	NA	NA	NA	0	1	1	0	V	Vl	Vla	Vlas	Vlast	Vlasti	V	Vl	Vla	Vlas	Vlast	Vlasti	islava	slava	lava	ava	va	a	slavin	lavin	avin	vin	in	n	POSSESSIVE
vlastizrádkyně	vlastizrádkynin	N	A	F	NA	NA	NA	0	1	1	0	v	vl	vla	vlas	vlast	vlasti	v	vl	vla	vlas	vlast	vlasti	ádkyně	dkyně	kyně	yně	ně	ě	dkynin	kynin	ynin	nin	in	n	POSSESSIVE
vlastnice	vlastničin	N	A	F	NA	NA	NA	0	1	1	0	v	vl	vla	vlas	vlast	vlastn	v	vl	vla	vlas	vlast	vlastn	stnice	tnice	nice	ice	ce	e	tničin	ničin	ičin	čin	in	n	POSSESSIVE
vlastnit	vlastnívat	V	V	NA	NA	I	I	0	0	1	1	v	vl	vla	vlas	vlast	vlastn	v	vl	vla	vlas	vlast	vlastn	astnit	stnit	tnit	nit	it	t	tnívat	nívat	ívat	vat	at	t	ITERATIVE
vlaštovče	vlaštovčátko	N	N	N	N	NA	NA	0	0	1	0	v	vl	vla	vlaš	vlašt	vlašto	v	vl	vla	vlaš	vlašt	vlašto	štovče	tovče	ovče	vče	če	e	včátko	čátko	átko	tko	ko	o	DIMINUTIVE
vlaštovka	vlaštovička	N	N	F	F	NA	NA	0	0	1	1	v	vl	vla	vlaš	vlašt	vlašto	v	vl	vla	vlaš	vlašt	vlašto	štovka	tovka	ovka	vka	ka	a	ovička	vička	ička	čka	ka	a	DIMINUTIVE
vlát	vlávat	V	V	NA	NA	I	I	0	0	1	1	v	vl	vlá	vlát	NA	NA	v	vl	vlá	vláv	vláva	vlávat	NA	NA	vlát	lát	át	t	vlávat	lávat	ávat	vat	at	t	ITERATIVE
vlažit	vlažívat	V	V	NA	NA	I	I	0	0	1	1	v	vl	vla	vlaž	vlaži	vlažit	v	vl	vla	vlaž	vlaží	vlažív	vlažit	lažit	ažit	žit	it	t	ažívat	žívat	ívat	vat	at	t	ITERATIVE
vlažný	vlažňoučký	A	A	NA	NA	NA	NA	0	0	1	1	v	vl	vla	vlaž	vlažn	vlažný	v	vl	vla	vlaž	vlažň	vlažňo	vlažný	lažný	ažný	žný	ný	ý	ňoučký	oučký	učký	čký	ký	ý	DIMINUTIVE
vlčačka	vlčaččin	N	A	F	NA	NA	NA	0	1	1	0	v	vl	vlč	vlča	vlčač	vlčačk	v	vl	vlč	vlča	vlčač	vlčačč	lčačka	čačka	ačka	čka	ka	a	čaččin	aččin	ččin	čin	in	n	POSSESSIVE
vlčák	vlčáček	N	N	M	M	NA	NA	0	0	1	1	v	vl	vlč	vlčá	vlčák	NA	v	vl	vlč	vlčá	vlčáč	vlčáče	NA	vlčák	lčák	čák	ák	k	lčáček	čáček	áček	ček	ek	k	DIMINUTIVE
vlčák	vlčačka	N	N	M	F	NA	NA	0	0	1	0	v	vl	vlč	vlčá	vlčák	NA	v	vl	vlč	vlča	vlčač	vlčačk	NA	vlčák	lčák	čák	ák	k	lčačka	čačka	ačka	čka	ka	a	FEMALE
vlče	vlčátko	N	N	N	N	NA	NA	0	0	1	0	v	vl	vlč	vlče	NA	NA	v	vl	vlč	vlčá	vlčát	vlčátk	NA	NA	vlče	lče	če	e	lčátko	čátko	átko	tko	ko	o	DIMINUTIVE
vlčice	vlčinka	N	N	F	F	NA	NA	0	0	1	0	v	vl	vlč	vlči	vlčic	vlčice	v	vl	vlč	vlči	vlčin	vlčink	vlčice	lčice	čice	ice	ce	e	lčinka	činka	inka	nka	ka	a	DIMINUTIVE
vléci	vléct	V	V	NA	NA	I	I	0	0	1	0	v	vl	vlé	vléc	vléci	NA	v	vl	vlé	vléc	vléct	NA	NA	vléci	léci	éci	ci	i	NA	vléct	léct	éct	ct	t	ASPECT
vlékat	vlékávat	V	V	NA	NA	I	I	0	0	1	1	v	vl	vlé	vlék	vléka	vlékat	v	vl	vlé	vlék	vléká	vlékáv	vlékat	lékat	ékat	kat	at	t	ékávat	kávat	ávat	vat	at	t	ITERATIVE
vlepit	vlepovat	V	V	NA	NA	P	I	0	0	1	1	v	vl	vle	vlep	vlepi	vlepit	v	vl	vle	vlep	vlepo	vlepov	vlepit	lepit	epit	pit	it	t	epovat	povat	ovat	vat	at	t	ASPECT
vleptat	vleptávat	V	V	NA	NA	P	I	0	0	1	1	v	vl	vle	vlep	vlept	vlepta	v	vl	vle	vlep	vlept	vleptá	leptat	eptat	ptat	tat	at	t	ptávat	távat	ávat	vat	at	t	ASPECT
vlétat	vlétávat	V	V	NA	NA	I	I	0	0	1	1	v	vl	vlé	vlét	vléta	vlétat	v	vl	vlé	vlét	vlétá	vlétáv	vlétat	létat	état	tat	at	t	étávat	távat	ávat	vat	at	t	ITERATIVE
vlézt	vlézat	V	V	NA	NA	P	I	0	0	1	1	v	vl	vlé	vléz	vlézt	NA	v	vl	vlé	vléz	vléza	vlézat	NA	vlézt	lézt	ézt	zt	t	vlézat	lézat	ézat	zat	at	t	ASPECT
vlíbat	vlíbávat	V	V	NA	NA	P	I	0	0	1	1	v	vl	vlí	vlíb	vlíba	vlíbat	v	vl	vlí	vlíb	vlíbá	vlíbáv	vlíbat	líbat	íbat	bat	at	t	íbávat	bávat	ávat	vat	at	t	ITERATIVE
vlichotit	vlichocovat	V	V	NA	NA	P	I	0	0	1	1	v	vl	vli	vlic	vlich	vlicho	v	vl	vli	vlic	vlich	vlicho	chotit	hotit	otit	tit	it	t	ocovat	covat	ovat	vat	at	t	ASPECT
vlít	vlévat	V	V	NA	NA	P	I	0	0	1	1	v	vl	vlí	vlít	NA	NA	v	vl	vlé	vlév	vléva	vlévat	NA	NA	vlít	lít	ít	t	vlévat	lévat	évat	vat	at	t	ASPECT
vlk	vlček	N	N	M	M	NA	NA	0	0	1	1	v	vl	vlk	NA	NA	NA	v	vl	vlč	vlče	vlček	NA	NA	NA	NA	vlk	lk	k	NA	vlček	lček	ček	ek	k	DIMINUTIVE
vlňák	vlňáček	N	N	I	I	NA	NA	0	0	1	1	v	vl	vlň	vlňá	vlňák	NA	v	vl	vlň	vlňá	vlňáč	vlňáče	NA	vlňák	lňák	ňák	ák	k	lňáček	ňáček	áček	ček	ek	k	DIMINUTIVE
vlna	vlnka	N	N	F	F	NA	NA	0	0	1	1	v	vl	vln	vlna	NA	NA	v	vl	vln	vlnk	vlnka	NA	NA	NA	vlna	lna	na	a	NA	vlnka	lnka	nka	ka	a	DIMINUTIVE
vlnit	vlnívat	V	V	NA	NA	I	I	0	0	1	1	v	vl	vln	vlni	vlnit	NA	v	vl	vln	vlní	vlnív	vlníva	NA	vlnit	lnit	nit	it	t	lnívat	nívat	ívat	vat	at	t	ITERATIVE
vloupat	vloupávat	V	V	NA	NA	P	I	0	0	1	1	v	vl	vlo	vlou	vloup	vloupa	v	vl	vlo	vlou	vloup	vloupá	loupat	oupat	upat	pat	at	t	upávat	pávat	ávat	vat	at	t	ASPECT
vloupat	vlupovat	V	V	NA	NA	P	I	0	0	1	1	v	vl	vlo	vlou	vloup	vloupa	v	vl	vlu	vlup	vlupo	vlupov	loupat	oupat	upat	pat	at	t	upovat	povat	ovat	vat	at	t	ASPECT
vložka	vložečka	N	N	F	F	NA	NA	0	0	1	1	v	vl	vlo	vlož	vložk	vložka	v	vl	vlo	vlož	vlože	vložeč	vložka	ložka	ožka	žka	ka	a	ožečka	žečka	ečka	čka	ka	a	DIMINUTIVE
vltavanka	vltavančin	N	A	F	NA	NA	NA	0	1	1	0	v	vl	vlt	vlta	vltav	vltava	v	vl	vlt	vlta	vltav	vltava	avanka	vanka	anka	nka	ka	a	vančin	ančin	nčin	čin	in	n	POSSESSIVE
vlys	vlýsek	N	N	I	I	NA	NA	0	0	1	0	v	vl	vly	vlys	NA	NA	v	vl	vlý	vlýs	vlýse	vlýsek	NA	NA	vlys	lys	ys	s	vlýsek	lýsek	ýsek	sek	ek	k	DIMINUTIVE
vmačkat	vmačkávat	V	V	NA	NA	P	I	0	0	1	1	v	vm	vma	vmač	vmačk	vmačka	v	vm	vma	vmač	vmačk	vmačká	mačkat	ačkat	čkat	kat	at	t	čkávat	kávat	ávat	vat	at	t	ASPECT
vměšovatelka	vměšovatelčin	N	A	F	NA	NA	NA	0	1	1	0	v	vm	vmě	vměš	vměšo	vměšov	v	vm	vmě	vměš	vměšo	vměšov	atelka	telka	elka	lka	ka	a	telčin	elčin	lčin	čin	in	n	POSSESSIVE
vměstnat	vměstnávat	V	V	NA	NA	P	I	0	0	1	1	v	vm	vmě	vměs	vměst	vměstn	v	vm	vmě	vměs	vměst	vměstn	ěstnat	stnat	tnat	nat	at	t	tnávat	návat	ávat	vat	at	t	ASPECT
vmetat	vmetávat	V	V	NA	NA	I	I	0	0	1	1	v	vm	vme	vmet	vmeta	vmetat	v	vm	vme	vmet	vmetá	vmetáv	vmetat	metat	etat	tat	at	t	etávat	távat	ávat	vat	at	t	ITERATIVE
vmíchat	vmíchávat	V	V	NA	NA	P	I	0	0	1	1	v	vm	vmí	vmíc	vmích	vmícha	v	vm	vmí	vmíc	vmích	vmíchá	míchat	íchat	chat	hat	at	t	chávat	hávat	ávat	vat	at	t	ASPECT
vmísit	vměšovat	V	V	NA	NA	P	I	0	0	1	1	v	vm	vmí	vmís	vmísi	vmísit	v	vm	vmě	vměš	vměšo	vměšov	vmísit	mísit	ísit	sit	it	t	ěšovat	šovat	ovat	vat	at	t	ASPECT
vmontovat	vmontovávat	V	V	NA	NA	P	I	0	0	1	1	v	vm	vmo	vmon	vmont	vmonto	v	vm	vmo	vmon	vmont	vmonto	ntovat	tovat	ovat	vat	at	t	ovávat	vávat	ávat	vat	at	t	ASPECT
vnadit	vnadívat	V	V	NA	NA	I	I	0	0	1	1	v	vn	vna	vnad	vnadi	vnadit	v	vn	vna	vnad	vnadí	vnadív	vnadit	nadit	adit	dit	it	t	adívat	dívat	ívat	vat	at	t	ITERATIVE
vnášet	vnášívat	V	V	NA	NA	I	I	0	0	1	1	v	vn	vná	vnáš	vnáše	vnášet	v	vn	vná	vnáš	vnáší	vnášív	vnášet	nášet	ášet	šet	et	t	ášívat	šívat	ívat	vat	at	t	ITERATIVE
vnést	vnášet	V	V	NA	NA	P	I	0	0	1	1	v	vn	vné	vnés	vnést	NA	v	vn	vná	vnáš	vnáše	vnášet	NA	vnést	nést	ést	st	t	vnášet	nášet	ášet	šet	et	t	ASPECT
vnikat	vniknout	V	V	NA	NA	I	P	0	0	1	1	v	vn	vni	vnik	vnika	vnikat	v	vn	vni	vnik	vnikn	vnikno	vnikat	nikat	ikat	kat	at	t	iknout	knout	nout	out	ut	t	ASPECT
vnímatel	vnímatelka	N	N	M	F	NA	NA	0	0	1	0	v	vn	vní	vním	vníma	vnímat	v	vn	vní	vním	vníma	vnímat	ímatel	matel	atel	tel	el	l	atelka	telka	elka	lka	ka	a	FEMALE
vnouče	vnoučátko	N	N	N	N	NA	NA	0	0	1	0	v	vn	vno	vnou	vnouč	vnouče	v	vn	vno	vnou	vnouč	vnoučá	vnouče	nouče	ouče	uče	če	e	učátko	čátko	átko	tko	ko	o	DIMINUTIVE
vnučka	vnuččin	N	A	F	NA	NA	NA	0	1	1	0	v	vn	vnu	vnuč	vnučk	vnučka	v	vn	vnu	vnuč	vnučč	vnučči	vnučka	nučka	učka	čka	ka	a	nuččin	uččin	ččin	čin	in	n	POSSESSIVE
vnuk	vnouček	N	N	M	M	NA	NA	0	0	1	1	v	vn	vnu	vnuk	NA	NA	v	vn	vno	vnou	vnouč	vnouče	NA	NA	vnuk	nuk	uk	k	nouček	ouček	uček	ček	ek	k	DIMINUTIVE
vnuk	vnučka	N	N	M	F	NA	NA	0	0	1	0	v	vn	vnu	vnuk	NA	NA	v	vn	vnu	vnuč	vnučk	vnučka	NA	NA	vnuk	nuk	uk	k	vnučka	nučka	učka	čka	ka	a	FEMALE
vnutit	vnucovat	V	V	NA	NA	P	I	0	0	1	1	v	vn	vnu	vnut	vnuti	vnutit	v	vn	vnu	vnuc	vnuco	vnucov	vnutit	nutit	utit	tit	it	t	ucovat	covat	ovat	vat	at	t	ASPECT
vochcajda	vochcajdin	N	A	F	NA	NA	NA	0	1	1	0	v	vo	voc	voch	vochc	vochca	v	vo	voc	voch	vochc	vochca	hcajda	cajda	ajda	jda	da	a	cajdin	ajdin	jdin	din	in	n	POSSESSIVE
