státi(se)	stá-ti-(se)
pěticípý	pět-i-cíp-ý
principy	princip-y
videoklipy	vide-o-klip-y
tipy	tip-y
alpy	alp-y
skalpy	skalp-y
lumpy	lump-y
pumpy	pump-y
ropy	rop-y
tropy	trop-y
evropy	evrop-y
stopy	stop-y
stopý	stop-ý
pětistopý	pět-i-stop-ý
dupy	dup-y
nákupy	ná-kup-y
chalupy	chalup-y
kralupy	kralup-y
chlupy	chlup-y
hloupý	hloup-ý
sloupy	sloup-y
tupý	tup-ý
přístupy	pří-stup-y
postupy	po-stup-y
typy	typ-y
krejcary	krejcar-y
čáry	čár-y
kočáry	kočár-y
přímočarý	přím-o-čar-ý
čiryčáry	čiryčáry
dary	dar-y
gandary	gandar-y
milodary	mil-o-dar-y
calgary	calgary
buchary	buchar-y
jarý	jar-ý
hillary	hillary
tolary	tolar-y
volary	volar-y
mary	mary
máry	már-y
primary	primary
komáry	komár-y
starý	star-ý
prastarý	pra-star-ý
vary	var-y
polotovary	pol-o-tovar-y
tvary	tvar-y
hřibotvarý	hřib-o-tvar-ý
novotvary	nov-o-tvar-y
útvary	ú-tvar-y
brý	brý
chrabrý	chrabr-ý
dobry	dobr-y
dobrý	dobr-ý
superdobrý	super-dobr-ý
hadry	hadr-y
ňadry	ňadr-y
štědrý	štědr-ý
plandry	plandr-y
vindry	vindr-y
bodrý	bodr-ý
modrý	modr-ý
bleděmodrý	bled-ě-modr-ý
šedomodrý	šed-o-modr-ý
zelenošedomodrý	zelen-o-šed-o-modr-ý
bílomodrý	bíl-o-modr-ý
černomodrý	čern-o-modr-ý
žlutomodrý	žlut-o-modr-ý
tmavomodrý	tmav-o-modr-ý
fialovomodrý	fial-ov-o-modr-ý
moudrý	moudr-ý
éry	ér-y
dcery	dcer-y
aféry	afér-y
sféry	sfér-y
hemisféry	hemi-sfér-y
hydrosféry	hydr-o-sfér-y
teenagery	teen-age-r-y
kariéry	kariér-y
bulteriéry	bul-teriér-y
remorkéry	remork-ér-y
veškerý	veš-k-er-ý
videokamery	vide-o-kamer-y
záměry	zá-měr-y
vodoměry	vod-o-měr-y
poměry	po-měr-y
směry	s-měr-y
polymery	poly-mer-y
rozměry	roz-měr-y
partnery	partner-y
opery	oper-y
který	kter-ý
leckterý	lec-kter-ý
helikoptéry	helikoptér-y
úterý	úter-ý
závěry	zá-věr-y
pověry	po-věr-y
čtverý	čtver-ý
úvěry	ú-věr-y
důvěry	dů-věr-y
sebedůvěry	seb-e-dů-věr-y
mezery	mezer-y
manažery	manaž-er-y
kufry	kufr-y
hry	hr-y
mezihry	mezi-hr-y
činohry	čin-o-hr-y
výhry	vý-hr-y
oficíry	ofic-ír-y
čirý	čir-ý
čiročirý	čir-o-čir-ý
díry	dír-y
káhiry	káhir-y
míry	mír-y
zmíry	z-mír-y
papíry	papír-y
sirý	sir-ý
víry	vír-y
příkrý	příkr-ý
jiskry	jiskr-y
henry	henry
odbory	od-bor-y
navzdory	na-vzdor-y
meteory	meteor-y
hory	hor-y
chorý	chor-ý
velehory	vele-hor-y
starohory	star-o-hor-y
komory	komor-y
podpory	pod-por-y
spory	s-por-y
sporý	spor-ý
úspory	ú-spor-y
nešpory	nešpor-y
profesory	pro-fes-or-y
parogenerátory	par-o-gener-át-or-y
faktory	faktor-y
inspektory	in-spek-t-or-y
motory	motor-y
servomotory	servo-motor-y
story	story
investory	in-vest-or-y
prostory	prostor-y
autory	autor-y
distributory	dis-tribu-t-or-y
hovory	hovor-y
rozhovory	roz-hovor-y
potvory	po-tvor-y
výtvory	vý-tvor-y
názory	ná-zor-y
prý	prý
kyprý	kypr-ý
harry	harry
terry	terry
bratry	bratr-y
tatry	tatr-y
metry	metr-y
parametry	para-metr-y
taxametry	tax-a-metr-y
chtrý	chtr-ý
autocentry	auto-centr-y
country	country
pestrý	pestr-ý
ostrý	ostr-ý
bystrý	bystr-ý
chytrý	chytr-ý
procedury	proced-ur-y
jůry	jůr-y
kůry	kůr-y
aparatury	aparat-ur-y
literatury	liter-a-tur-y
faktury	fakt-ur-y
architektury	archi-tekt-ur-y
struktury	strukt-ur-y
infrastruktury	infra-strukt-ur-y
kultury	kult-ur-y
agentury	agent-ur-y
syrý	syr-ý
casy	cas-y
běloocasý	běl-o-ocas-ý
časy	čas-y
přesčasy	přes-čas-y
kasy	kas-y
hlasy	hlas-y
pětihlasý	pět-i-hlas-ý
plasy	plas-y
vlasy	vlas-y
šedovlasý	šed-o-vlas-ý
rudovlasý	rud-o-vlas-ý
dlouhovlasý	dlouh-o-vlas-ý
bělovlasý	běl-o-vlas-ý
černovlasý	čern-o-vlas-ý
zlatovlasý	zlat-o-vlas-ý
žlutovlasý	žlut-o-vlas-ý
plavovlasý	plav-o-vlas-ý
tmavovlasý	tmav-o-vlas-ý
žlutomasý	žlut-o-mas-ý
zápasy	zá-pas-y
rasy	ras-y
krásy	krás-y
procesy	proces-y
lesy	les-y
pralesy	pra-les-y
mísy	mís-y
loisy	loisy
předpisy	před-pis-y
podpisy	pod-pis-y
dopisy	do-pis-y
rukopisy	ruk-o-pis-y
životopisy	živ-ot-o-pis-y
spisy	s-pis-y
autoservisy	aut-o-servis-y
doksy	doks-y
impulsy	im-puls-y
pětiosý	pět-i-os-ý
kosý	kos-ý
kolosy	kolos-y
trubkonosý	trub-k-o-nos-ý
výnosy	vý-nos-y
jednoosý	jedn-o-os-ý
psy	ps-y
kapsy	kaps-y
bicepsy	bi-ceps-y
trsy	trs-y
kusssy	kusss-y
husy	hus-y
kusy	kus-y
pokusy	po-kus-y
fousy	fous-y
vousy	vous-y
šedovousý	šed-o-vous-ý
bělovousý	běl-o-vous-ý
jednovousý	jedn-o-vous-ý
pusy	pus-y
rusy	rus-y
kaktusy	kaktus-y
lysý	lys-ý
velkorysý	vel-k-o-rys-ý
ty	t-y
krabatý	krabat-ý
debaty	debat-y
kostrbatý	kostrbat-ý
zubatý	zub-at-ý
dvacátý	dv-a-cát-ý
daty	dat-y
kandidáty	kandid-át-y
blonďatý	blonď-at-ý
bohatý	boh-at-ý
přijatý	při-j-a-t-ý
pojaty	po-j-a-t-y
pojatý	po-j-a-t-ý
předpojatý	před-po-j-a-t-ý
napjatý	na-pj-a-t-ý
vypjatý	vy-pj-at-ý
zaujatý	za-u-j-a-t-ý
plakáty	plakát-y
tříuhlíkatý	tř-í-uhlík-at-ý
čtyřuhlíkatý	čtyř-uhl-ík-at-ý
unikáty	unik-át-y
kalkaty	kalkat-y
hrbolkatý	hrbol-kat-ý
destiláty	destil-át-y
kostomlaty	kost-o-mlat-y
platy	plat-y
zlatý	zlat-ý
rudozlatý	rud-o-zlat-ý
bílozlatý	bíl-o-zlat-ý
černozlatý	čern-o-zlat-ý
modrozlatý	modr-o-zlat-ý
žlutozlatý	žlut-o-zlat-ý
automaty	auto-mat-y
formáty	form-át-y
sodnovápenatý	sod-n-o-vápen-at-ý
ženatý	žen-at-ý
svalnatý	sval-nat-ý
hlinitoberylnatý	hlin-it-o-beryl-nat-ý
komnaty	komnat-y
telefonáty	tele-fon-át-y
exponáty	ex-pon-át-y
sňatý	sňat-ý
trstnatý	trstnat-ý
šťavnatý	šťav-nat-ý
hořečnatoželeznatý	hoř-eč-nat-o-želez-nat-ý
vzňatý	vzňat-ý
doupaty	doup-at-y
obraty	ob-rat-y
inzeráty	inzer-át-y
demokraty	demo-krat-y
outraty	ou-trat-y
ztráty	z-trát-y
vraty	vrat-y
předehřátý	přede-hřá-t-ý
sátý	sát-ý
desátý	desát-ý
nosatý	nos-at-ý
fousatý	fous-at-ý
šaty	šat-y
ušatý	uš-at-ý
pantáty	pan-tát-y
atentáty	atent-át-y
státy	stát-y
sťatý	sťat-ý
podstaty	pod-stat-y
hlavatý	hlav-at-ý
louhovatý	louh-ovat-ý
svatý	svat-ý
zrzatý	zrzat-ý
nanebevzatý	na-neb-e-vz-a-t-ý
žatý	žat-ý
ježatý	jež-at-ý
drobty	drob-t-y
jedenáctý	jeden-áct-ý
úcty	ú-ct-y
kmitočty	kmit-o-čt-y
účty	ú-čt-y
bělohřbetý	běl-o-hřbet-ý
žlutohřbetý	žlut-o-hřbet-ý
rakety	raket-y
lety	let-y
letý	let-ý
mnohaletý	mnoh-a-let-ý
několikaletý	ně-kolik-a-let-ý
staletý	st-a-let-ý
tablety	tablet-y
víceletý	více-let-ý
tisíciletý	tisíc-i-let-ý
sedmiletý	sedm-i-let-ý
padesátisedmiletý	pa-desát-i-sedm-i-let-ý
osmiletý	osm-i-let-ý
šedesátiosmiletý	še-desát-i-osm-i-let-ý
tříletý	tř-í-let-ý
padesátiletý	pa-desát-i-let-ý
dvaapadesátiletý	dv-a-a-pa-desát-i-let-ý
třiapadesátiletý	tř-i-a-pa-desát-i-let-ý
čtyřiapadesátiletý	čtyř-i-a-pa-desát-i-let-ý
sedmapadesátiletý	sedm-a-pa-desát-i-let-ý
osmapadesátiletý	osm-a-pa-desát-i-let-ý
jednapadesátiletý	jedn-a-pa-desát-i-let-ý
jedenapadesátiletý	jeden-a-pa-desát-i-let-ý
pětapadesátiletý	pět-a-pa-desát-i-let-ý
devětapadesátiletý	devět-a-pa-desát-i-let-ý
šestapadesátiletý	šest-a-pa-desát-i-let-ý
stošestapadesátiletý	st-o-šest-a-pa-desát-i-let-ý
devadesátiletý	deva-desát-i-let-ý
šestadevadesátiletý	šest-a-deva-desát-i-let-ý
šedesátiletý	še-desát-i-let-ý
dvaašedesátiletý	dv-a-a-še-desát-i-let-ý
třiašedesátiletý	tř-i-a-še-desát-i-let-ý
čtyřiašedesátiletý	čtyř-i-a-še-desát-i-let-ý
sedmašedesátiletý	sedm-a-še-desát-i-let-ý
osmašedesátiletý	osm-a-še-desát-i-let-ý
jednašedesátiletý	jedn-a-še-desát-i-let-ý
jedenašedesátiletý	jeden-a-še-desát-i-let-ý
pětašedesátiletý	pět-a-še-desát-i-let-ý
devětašedesátiletý	devět-a-še-desát-i-let-ý
šestašedesátiletý	šest-a-še-desát-i-let-ý
sedmdesátiletý	sedm-desát-i-let-ý
dvaasedmdesátiletý	dv-a-a-sedm-desát-i-let-ý
třiasedmdesátiletý	tř-i-a-sedm-desát-i-let-ý
čtyřiasedmdesátiletý	čtyř-i-a-sedm-desát-i-let-ý
sedmasedmdesátiletý	sedm-a-sedm-desát-i-let-ý
osmasedmdesátiletý	osm-a-sedm-desát-i-let-ý
jednasedmdesátiletý	jedn-a-sedm-desát-i-let-ý
jedenasedmdesátiletý	jeden-a-sedm-desát-i-let-ý
pětasedmdesátiletý	pět-a-sedm-desát-i-let-ý
devětasedmdesátiletý	devět-a-sedm-desát-i-let-ý
šestasedmdesátiletý	šest-a-sedm-desát-i-let-ý
osmdesátiletý	osm-desát-i-let-ý
dvaaosmdesátiletý	dv-a-a-osm-desát-i-let-ý
třiaosmdesátiletý	tř-i-a-osm-desát-i-let-ý
čtyřiaosmdesátiletý	čtyř-i-a-osm-desát-i-let-ý
jednaosmdesátiletý	jedn-a-osm-desát-i-let-ý
pětaosmdesátiletý	pět-a-osm-desát-i-let-ý
šestaosmdesátiletý	šest-a-osm-desát-i-let-ý
náctiletý	náct-i-let-ý
dvanáctiletý	dv-a-náct-i-let-ý
jedenáctiletý	jeden-áct-i-let-ý
devatenáctiletý	devate-náct-i-let-ý
třináctiletý	tř-i-náct-i-let-ý
sedmnáctiletý	sedm-náct-i-let-ý
osmnáctiletý	osm-náct-i-let-ý
čtrnáctiletý	čtr-náct-i-let-ý
patnáctiletý	pat-náct-i-let-ý
šestnáctiletý	šest-náct-i-let-ý
dvacetiletý	dv-a-cet-i-let-ý
dvaadvacetiletý	dv-a-a-dv-a-cet-i-let-ý
třiadvacetiletý	tř-i-a-dv-a-cet-i-let-ý
čtyřiadvacetiletý	čtyř-i-a-dv-a-cet-i-let-ý
sedmadvacetiletý	sedm-a-dv-a-cet-i-let-ý
osmadvacetiletý	osm-a-dv-a-cet-i-let-ý
jednadvacetiletý	jedn-a-dv-a-cet-i-let-ý
jedenadvacetiletý	jeden-a-dv-a-cet-i-let-ý
pětadvacetiletý	pět-a-dv-a-cet-i-let-ý
devětadvacetiletý	devět-a-dv-a-cet-i-let-ý
šestadvacetiletý	šest-a-dv-a-cet-i-let-ý
třicetiletý	tř-i-cet-i-let-ý
dvaatřicetiletý	dv-a-a-tř-i-cet-i-let-ý
třiatřicetiletý	tř-i-a-tř-i-cet-i-let-ý
čtyřiatřicetiletý	čtyř-i-a-tř-i-cet-i-let-ý
sedmatřicetiletý	sedm-a-tř-i-cet-i-let-ý
osmatřicetiletý	osm-a-tř-i-cet-i-let-ý
jednatřicetiletý	jedn-a-tř-i-cet-i-let-ý
jedenatřicetiletý	jeden-a-tř-i-cet-i-let-ý
pětatřicetiletý	pět-a-tř-i-cet-i-let-ý
devětatřicetiletý	devět-a-tři-cet-i-let-ý
šestatřicetiletý	šest-a-tř-i-cet-i-let-ý
čtyřicetiletý	čtyř-i-cet-i-let-ý
dvaačtyřicetiletý	dv-a-a-čtyř-i-cet-i-let-ý
třiačtyřicetiletý	tř-i-a-čtyř-i-cet-i-let-ý
čtyřiačtyřicetiletý	čtyř-i-a-čtyř-i-cet-i-let-ý
sedmačtyřicetiletý	sedm-a-čtyř-i-cet-i-let-ý
osmačtyřicetiletý	osm-a-čtyř-i-cet-i-let-ý
jednačtyřicetiletý	jedn-a-čtyř-i-cet-i-let-ý
jedenačtyřicetiletý	jeden-a-čtyř-i-cet-i-let-ý
pětačtyřicetiletý	pět-a-čtyř-i-cet-i-let-ý
devětačtyřicetiletý	devět-a-čtyř-i-cet-i-let-ý
šestačtyřicetiletý	šest-a-čtyř-i-cet-i-let-ý
pětiletý	pět-i-let-ý
desetiletý	deset-i-let-ý
devítiletý	devít-i-let-ý
šestiletý	šest-i-let-ý
třiapůlletý	tř-i-a-půl-let-ý
dvouapůlletý	dv-ou-a-půl-let-ý
dlouholetý	dlouh-o-let-ý
maloletý	mal-o-let-ý
jednoletý	jedn-o-let-ý
plnoletý	plnoletý
stoletý	st-o-let-ý
půldruhastoletý	půl-druh-a-st-o-let-ý
brazolety	brazolet-y
čtyřletý	čtyř-let-ý
třicetičtyřletý	tř-i-cet-i-čtyř-let-ý
dvouletý	dv-ou-let-ý
aerovýlety	aero-vý-let-y
náměty	ná-mět-y
předměty	před-mět-y
komety	komet-y
kulomety	kul-o-met-y
planety	planet-y
bajonety	bajonet-y
cigarety	cigaret-y
minarety	minaret-y
posetý	po-se-t-ý
siluety	siluet-y
věty	vět-y
pětivětý	pět-i-vět-ý
květy	květ-y
chudokvětý	chud-o-květ-ý
liliokvětý	lili-o-květ-ý
bělokvětý	běl-o-květ-ý
motýlokvětý	motýl-o-květ-ý
modrokvětý	modr-o-květ-ý
žlutokvětý	žlut-o-květ-ý
světy	svět-y
kazety	kazet-y
videokazety	vide-o-kazet-y
nafty	naft-y
bionafty	bio-naft-y
kunčofty	kunčoft-y
plachty	placht-y
nehty	neht-y
nabitý	na-bi-t-ý
střelhbitý	střel-hbit-ý
rozbitý	roz-bi-t-ý
city	cit-y
kapacity	kapacit-y
radiotoxicity	radi-o-tox-ic-it-y
určitý	u-rč-i-t-ý
štěrkopísčitý	štěrk-o-písč-it-ý
hlinitopísčitý	hlin-it-o-písč-it-ý
reality	real-it-y
speciality	speci-al-it-y
nalitý	na-lit-ý
kriminality	kriminal-it-y
intelektuality	intelekt-u-al-it-y
kvality	kval-it-y
stability	stabil-it-y
zemitý	zem-it-ý
rozmanitý	roz-man-it-ý
insanity	insanity
draselnohlinitý	dras-el-n-o-hlin-it-ý
písčitohlinitý	písč-it-o-hlin-it-ý
dřevohlinitý	dřev-o-hlin-it-ý
dřevovláknitý	dřev-o-vlák-n-it-ý
zákonitý	zá-kon-it-ý
komunity	komun-it-y
autority	aut-or-it-y
mešity	mešit-y
letitý	let-it-ý
kvantity	kvant-it-y
naivity	naiv-it-y
agresivity	agres-iv-it-y
aktivity	aktiv-it-y
produktivity	pro-dukt-iv-it-y
antikvity	antikv-it-y
pracovitý	prac-ovit-ý
lednicovitý	led-nic-ovit-ý
žabníkovitý	žab-ník-ovit-ý
hlinitojílovitý	hlin-it-o-jíl-ov-it-ý
movitý	movit-ý
vzdorovitý	vz-dor-ov-it-ý
tisovitý	tis-ovit-ý
polorozvitý	pol-o-roz-vi-t-ý
železnatoželezitý	želez-nat-o-želez-it-ý
kuriozity	kurioz-it-y
univerzity	uni-verz-it-y
svažitý	s-važ-it-ý
zažity	za-ži-t-y
zažitý	za-ži-t-ý
důležitý	dů-lež-it-ý
veledůležitý	vele-dů-lež-it-ý
okamžitý	oka-mžit-ý
složitý	s-lož-it-ý
policajty	policajt-y
fakty	fakt-y
kontrakty	kontrakt-y
kontakty	kon-takt-y
objekty	ob-jekt-y
subjekty	sub-jekt-y
projekty	pro-jekt-y
aspekty	a-spekt-y
sekty	sekt-y
konflikty	konflikt-y
produkty	pro-dukt-y
malty	malt-y
fakulty	fakult-y
rekreanty	re-kre-ant-y
varianty	vari-ant-y
diamanty	diamant-y
démanty	démant-y
postgraduanty	post-gradu-ant-y
centy	cent-y
procenty	procent-y
studenty	stud-ent-y
študenty	štud-ent-y
klienty	klient-y
talenty	talent-y
temperamenty	tempera-ment-y
alimenty	ali-ment-y
argumenty	argument-y
dokumenty	dokument-y
instrumenty	instru-ment-y
komponenty	kom-pon-ent-y
fronty	front-y
boty	bot-y
pakeboty	pakebot-y
soboty	sobot-y
nicoty	ni-c-ot-y
kalhoty	kalhot-y
fujloty	fujloty
teploty	tepl-ot-y
zlotý	zlot-ý
samoty	sam-ot-y
hmoty	hmot-y
jednoty	jedn-ot-y
hodnoty	hod-n-ot-y
protihodnoty	proti-hod-n-ot-y
klenoty	klenot-y
bankroty	bank-rot-y
čistoty	čist-ot-y
jistoty	jist-ot-y
nejistoty	ne-jist-ot-y
životy	život-y
karty	kart-y
party	party
technoparty	techn-o-party
sparty	spart-y
koncerty	koncert-y
experty	expert-y
žerty	žert-y
sporty	sport-y
postoloprty	postoloprt-y
čtvrtý	čtvr-t-ý
sty	st-y
častý	čast-ý
cesty	cest-y
motoresty	moto-rest-y
testy	test-y
psychotesty	psych-o-test-y
vesty	vest-y
policisty	polic-ist-y
čistý	čist-ý
čistočistý	čist-o-čist-ý
monarchisty	monarch-ist-y
jistý	jist-ý
sebejistý	seb-e-jist-ý
nejistý	ne-jist-ý
listy	list-y
specialisty	speci-al-ist-y
materialisty	materi-al-ist-y
racionalisty	racion-al-ist-y
pluralisty	plural-ist-y
fatalisty	fatal-ist-y
senzualisty	senz-u-al-ist-y
malolistý	mal-o-list-ý
vstřícnolistý	vstříc-n-o-list-ý
javorolistý	javor-o-list-ý
místy	míst-y
motoristy	motor-ist-y
turisty	tur-ist-y
pragmatisty	pragm-at-ist-y
hosty	host-y
prostý	prost-ý
leduprostý	led-u-prost-ý
liduprostý	lid-u-prost-ý
hříchuprostý	hřích-u-prost-ý
kolkuprostý	kolk-u-prost-ý
tukuprostý	tuk-u-prost-ý
prsty	prst-y
pětiprstý	pět-i-prst-ý
černosrstý	čern-o-srst-ý
ústy	úst-y
hustý	hust-ý
tlustý	tlust-ý
druhoústý	druh-o-úst-ý
svinoústý	s-vin-o-úst-ý
zlatoústý	zlat-o-úst-ý
prvoústý	prv-o-úst-ý
pustý	pust-ý
bohapustý	boh-a-pust-ý
atributy	a-tribut-y
lhůty	lhůt-y
kajuty	kajut-y
pokuty	pokut-y
žlutý	žlut-ý
šedožlutý	šed-o-žlut-ý
bíložlutý	bíl-o-žlut-ý
černozelenožlutý	čern-o-zelen-o-žlut-ý
černožlutý	čern-o-žlut-ý
modrožlutý	modr-o-žlut-ý
zlatožlutý	zlat-o-žlut-ý
píchnutý	pích-nut-ý
sehnutý	se-h-nu-t-ý
podtrhnutý	pod-trh-nu-t-ý
vytuhnutý	vy-tuh-nu-t-ý
minuty	minut-y
přitisknutý	při-tisk-nu-t-ý
zapnutý	za-p-nu-t-ý
vyloupnutý	vy-loup-nu-t-ý
vyhrnutý	vy-hr-nu-t-ý
rozhrnuty	roz-hr-nu-t-y
zaklesnutý	za-kles-nut-ý
odsunuty	od-su-nu-t-y
zaříznutý	za-říz-nu-t-ý
umrznutý	u-mrz-nu-t-ý
kouty	kout-y
pouty	pout-y
krutý	krut-ý
pruty	prut-y
texty	text-y
pretexty	pre-text-y
byty	by-t-y
holobyty	hol-o-byt-y
pobyty	po-by-t-y
kopyty	kopyt-y
krytý	kry-t-ý
nekrytý	ne-kry-t-ý
přikrytý	při-kry-t-ý
pokryty	po-kry-t-y
koryty	koryt-y
sytý	syt-ý
vy	v-y
vý	vý
zábavy	zá-bav-y
obavy	o-ba-v-y
rozpadavý	roz-pad-a-v-ý
zvědavý	z-věd-a-v-ý
prchavý	prch-a-v-ý
šilhavý	šilh-a-v-ý
kulhavý	kulh-a-v-ý
krhavý	krhav-ý
žhavý	žh-av-ý
pronikavý	pro-nik-a-v-ý
laskavý	lask-av-ý
rrrrukávy	rrrruk-áv-y
hlavy	hlav-y
svéhlavý	sv-é-hlav-ý
tvrdohlavý	tvrd-o-hlav-ý
rudohlavý	rud-o-hlav-ý
mnohohlavý	mnoh-o-hlav-ý
holohlavý	hol-o-hlav-ý
černohlavý	čern-o-hlav-ý
žlutohlavý	žlut-o-hlav-ý
křivohlavý	křiv-o-hlav-ý
enklávy	en-kláv-y
plavý	plav-ý
zlatoplavý	zlat-o-plav-ý
slávy	sláv-y
šatlavy	šatl-av-y
zajímavý	za-jím-a-v-ý
špinavý	špin-av-ý
voňavý	voň-av-ý
únavy	ú-nav-y
zdravý	zdrav-ý
moravy	morav-y
pravý	prav-ý
ultrapravý	ultra-prav-ý
přepravy	pře-prav-y
přípravy	pří-prav-y
opravy	o-prav-y
dopravy	do-prav-y
středopravý	střed-o-prav-ý
správy	s-práv-y
lidosprávy	lid-o-s-práv-y
samosprávy	sam-o-s-práv-y
úpravy	ú-prav-y
soupravy	sou-prav-y
výpravy	vý-prav-y
zprávy	z-práv-y
trávy	tráv-y
potravy	po-trav-y
ostravy	ostrav-y
krabožravý	krab-o-žr-a-v-ý
mrchožravý	mrch-o-žr-a-v-ý
lýkožravý	lýk-o-žr-a-v-ý
býložravý	býl-o-žr-a-v-ý
pyložravý	pyl-o-žr-a-v-ý
semenožravý	sem-en-o-žr-a-v-ý
zrnožravý	zrn-o-žr-a-v-ý
masožravý	mas-o-žr-a-v-ý
paměťožravý	paměť-o-žr-a-v-ý
dřevožravý	dřev-o-žr-a-v-ý
hmyzožravý	hmyz-o-žr-a-v-ý
třesavý	třes-a-v-ý
varšavy	varšav-y
svitavy	svitav-y
vltavy	vltav-y
prťavý	prťav-ý
stavy	stav-y
představy	před-stav-y
postavy	po-stav-y
ústavy	ú-stav-y
soustavy	sou-stav-y
výstavy	vý-stav-y
plovavý	plov-av-ý
krvavý	krv-av-ý
zrzavý	zrz-av-ý
oděvy	o-děv-y
jevy	jev-y
projevy	pro-jev-y
levý	lev-ý
halévy	halév-y
pravolevý	prav-o-lev-ý
slevy	s-lev-y
návštěvy	návšt-ěv-y
palčivý	pal-č-iv-ý
pravotočivý	prav-o-toč-iv-ý
levotočivý	lev-o-toč-iv-ý
divý	div-ý
šedivý	šed-iv-ý
vodivý	vod-iv-ý
pravdivý	prav-d-iv-ý
uspokojivý	u-s-po-koj-iv-ý
spravedlivý	s-prav-ed-l-iv-ý
veleškodlivý	vele-škod-l-iv-ý
trpělivý	trp-ě-liv-ý
spolehlivý	s-po-leh-liv-ý
ošklivý	oškliv-ý
zdánlivý	zd-á-nliv-ý
strašlivý	straš-liv-ý
protizánětlivý	proti-zá-nět-l-iv-ý
teplocitlivý	tep-l-o-cit-liv-ý
termocitlivý	term-o-cit-liv-ý
jednotlivý	jedn-ot-liv-ý
vlivy	v-li-v-y
střízlivý	střízliv-ý
nakažlivý	na-kaž-li-v-ý
opovážlivý	o-po-váž-liv-ý
brnivý	brniv-ý
plesnivý	plesn-iv-ý
tísnivý	tísn-iv-ý
dunivý	dun-iv-ý
bláznivý	blázn-iv-ý
příznivý	pří-zn-iv-ý
nepříznivý	ne-pří-zn-i-v-ý
křivý	křiv-ý
jasnozřivý	jasn-o-zř-iv-ý
sivý	siv-ý
iniciativy	inici-at-iv-y
administrativy	administrativy
poctivý	po-ct-i-v-ý
přívětivý	pří-vět-i-v-ý
rautuchtivý	raut-u-cht-iv-ý
oděvuchtivý	o-děv-u-cht-iv-ý
zpěvuchtivý	z-pěv-u-cht-iv-ý
lovuchtivý	lov-u-cht-iv-ý
stavbychtivý	stav-b-y-cht-iv-ý
direktivy	direkt-iv-y
detektivy	de-tekt-iv-y
motivy	motiv-y
protivy	protiv-y
drtivý	drt-iv-ý
lstivý	lst-i-v-ý
milostivý	mil-ost-iv-ý
kormoutivý	kormout-iv-ý
třpytivý	třpyt-i-v-ý
barvivy	barv-iv-y
živý	ži-v-ý
jakživy	jak-ži-v-y
vždyživý	vždy-živ-ý
moskvy	moskv-y
plazopánvý	plaz-o-pánv-ý
kakaový	kaka-ov-ý
libový	lib-ov-ý
protihoubový	proti-houb-ov-ý
ložnicový	lož-nic-ov-ý
několikatisícový	ně-kolik-a-tisíc-ov-ý
statisícový	st-a-tisíc-ov-ý
osmitisícový	osm-i-tisíc-ov-ý
třítisícový	tř-í-tisíc-ov-ý
padesátitisícový	pa-desát-i-tisíc-ov-ý
patnáctitisícový	pat-náct-i-tisíc-ov-ý
dvacetitisícový	dv-a-cet-i-tisíc-ov-ý
třicetitisícový	tř-i-cet-i-tisíc-ov-ý
pětitisícový	pět-i-tisíc-ov-ý
šestitisícový	šest-i-tisíc-ov-ý
dvousettisícový	dv-ou-set-tisíc-ov-ý
dvoutisícový	dv-ou-tisíc-ov-ý
prosincový	prosinc-ov-ý
marcovy	marc-ov-y
pětiodstavcový	pět-i-od-stav-c-ov-ý
trojvodičový	troj-vod-ič-ov-ý
hladový	hlad-ov-ý
kládový	klád-ov-ý
nízkonákladový	níz-k-o-ná-klad-ov-ý
polistopadový	po-list-o-pad-ov-ý
ledový	led-ov-ý
lidový	lid-ov-ý
všelidový	vš-e-lid-ov-ý
multividový	multi-vid-ov-ý
pětapadesátisekundový	pět-a-pa-desát-i-sekund-ov-ý
mnohabodový	mnoh-a-bod-ov-ý
sedmibodový	sedm-i-bod-ov-ý
tříbodový	tř-í-bod-ov-ý
dvanáctibodový	dv-a-náct-i-bod-ov-ý
dvacetibodový	dv-a-cet-i-bod-ov-ý
pětibodový	pět-i-bod-ov-ý
desetibodový	deset-i-bod-ov-ý
devítibodový	devít-i-bod-ov-ý
jednobodový	jedn-o-bod-ov-ý
čtyřbodový	čtyř-bod-ov-ý
dvoubodový	dv-ou-bod-ov-ý
jahodový	jahod-ov-ý
pochodový	po-chod-ov-ý
důchodový	dů-chod-ov-ý
miliardový	mili-ard-ov-ý
mnohamiliardový	mnoh-a-mili-ard-ov-ý
půlmiliardový	půl-miliard-ov-ý
dvoumiliardový	dv-ou-miliard-ov-ý
budovy	bud-ov-y
proudový	proud-ov-ý
reliéfový	reliéf-ov-ý
golfový	golf-ov-ý
filozofovy	fil-o-zof-ov-y
třetiligový	tř-et-i-lig-ov-ý
extřetiligový	ex-třet-i-lig-ov-ý
druholigový	druh-o-lig-ov-ý
prvoligový	prv-o-lig-ov-ý
exligový	ex-lig-ov-ý
langovy	lang-ov-y
marketingový	market-ing-ov-ý
protidrogový	proti-drog-ov-ý
podlahový	podlah-ov-ý
snahový	snah-ov-ý
nízkoprahový	níz-k-o-prah-ov-ý
sebezáchovy	seb-e-zá-chov-y
fochovy	foch-ov-y
předtuchový	před-tuch-ov-ý
výchovy	vý-chov-y
tělovýchovy	těl-o-vý-chov-y
oběhový	o-běh-ov-ý
