scenario: Load file=fulltest.tsv CS::ExtractCandidatesForUnexploitedRules
novy par: candid --> candida	 pravidlo: A- --> A-a
novy par: Kbel --> Kbely	 pravidlo: N- --> N-y
novy par: Kerr --> Kerry	 pravidlo: N- --> N-y
novy par: klikyhák --> klikyháky	 pravidlo: N- --> N-y
novy par: Kolovrat --> Kolovraty	 pravidlo: N- --> N-y
novy par: komiks --> komiksy	 pravidlo: N- --> N-y
novy par: komín --> komíny	 pravidlo: N- --> N-y
novy par: Konrád --> Konrády	 pravidlo: N- --> N-y
novy par: korál --> korály	 pravidlo: N- --> N-y
novy par: kouřovod --> kouřovody	 pravidlo: N- --> N-y
novy par: krám --> krámy	 pravidlo: N- --> N-y
novy par: kraťas --> kraťasy	 pravidlo: N- --> N-y
novy par: kšír --> kšíry	 pravidlo: N- --> N-y
novy par: Kút --> Kúty	 pravidlo: N- --> N-y
novy par: La --> Lay	 pravidlo: N- --> N-y
novy par: Lear --> Leary	 pravidlo: N- --> N-y
novy par: lék --> léky	 pravidlo: N- --> N-y
novy par: Le --> Ley	 pravidlo: N- --> N-y
novy par: Leonid --> Leonidy	 pravidlo: N- --> N-y
novy par: let --> lety	 pravidlo: N- --> N-y
novy par: Lev --> Levy	 pravidlo: N- --> N-y
novy par: Ležák --> Ležáky	 pravidlo: N- --> N-y
novy par: lhůt --> lhůty	 pravidlo: N- --> N-y
novy par: Lima --> Limay	 pravidlo: N- --> N-y
novy par: Liss --> Lissy	 pravidlo: N- --> N-y
novy par: Loch --> Lochy	 pravidlo: N- --> N-y
novy par: Lo --> Loy	 pravidlo: N- --> N-y
novy par: Loun --> Louny	 pravidlo: N- --> N-y
novy par: Löw --> Löwy	 pravidlo: N- --> N-y
novy par: Lučan --> Lučany	 pravidlo: N- --> N-y
novy par: Lužin --> Lužiny	 pravidlo: N- --> N-y
novy par: Mahon --> Mahony	 pravidlo: N- --> N-y
novy par: Malone --> Maloney	 pravidlo: N- --> N-y
novy par: Ma --> May	 pravidlo: N- --> N-y
novy par: manévr --> manévry	 pravidlo: N- --> N-y
novy par: Manin --> Maniny	 pravidlo: N- --> N-y
novy par: Marc --> Marcy	 pravidlo: N- --> N-y
novy par: Marian --> Mariany	 pravidlo: N- --> N-y
novy par: Marle --> Marley	 pravidlo: N- --> N-y
novy par: Mar --> Mary	 pravidlo: N- --> N-y
novy par: Mart --> Marty	 pravidlo: N- --> N-y
novy par: Mazur --> Mazury	 pravidlo: N- --> N-y
novy par: McNall --> McNally	 pravidlo: N- --> N-y
novy par: měl --> měly	 pravidlo: N- --> N-y
novy par: memoár --> memoáry	 pravidlo: N- --> N-y
novy par: Mihál --> Mihály	 pravidlo: N- --> N-y
novy par: miliard --> miliardy	 pravidlo: N- --> N-y
novy par: mír --> míry	 pravidlo: N- --> N-y
novy par: modrák --> modráky	 pravidlo: N- --> N-y
novy par: Moll --> Molly	 pravidlo: N- --> N-y
novy par: Mon --> Mony	 pravidlo: N- --> N-y
novy par: Mont --> Monty	 pravidlo: N- --> N-y
novy par: móres --> móresy	 pravidlo: N- --> N-y
novy par: náklad --> náklady	 pravidlo: N- --> N-y
novy par: národ --> národy	 pravidlo: N- --> N-y
novy par: návrh --> návrhy	 pravidlo: N- --> N-y
novy par: Návrh --> Návrhy	 pravidlo: N- --> N-y
novy par: občan --> občany	 pravidlo: N- --> N-y
novy par: odbor --> odbory	 pravidlo: N- --> N-y
novy par: okulár --> okuláry	 pravidlo: N- --> N-y
novy par: orgán --> orgány	 pravidlo: N- --> N-y
novy par: Orsa --> Orsay	 pravidlo: N- --> N-y
novy par: ostrov --> ostrovy	 pravidlo: N- --> N-y
novy par: panel --> panely	 pravidlo: N- --> N-y
novy par: Parr --> Parry	 pravidlo: N- --> N-y
novy par: partner --> partnery	 pravidlo: N- --> N-y
novy par: part --> party	 pravidlo: N- --> N-y
novy par: patok --> patoky	 pravidlo: N- --> N-y
novy par: Paulin --> Pauliny	 pravidlo: N- --> N-y
novy par: pik --> piky	 pravidlo: N- --> N-y
novy par: plk --> plky	 pravidlo: N- --> N-y
novy par: plod --> plody	 pravidlo: N- --> N-y
novy par: Poděbrad --> Poděbrady	 pravidlo: N- --> N-y
novy par: podpis --> podpisy	 pravidlo: N- --> N-y
novy par: podpor --> podpory	 pravidlo: N- --> N-y
novy par: pokyn --> pokyny	 pravidlo: N- --> N-y
novy par: politik --> politiky	 pravidlo: N- --> N-y
novy par: Pol --> Poly	 pravidlo: N- --> N-y
novy par: poměr --> poměry	 pravidlo: N- --> N-y
novy par: Pomořan --> Pomořany	 pravidlo: N- --> N-y
novy par: Pont --> Ponty	 pravidlo: N- --> N-y
novy par: postup --> postupy	 pravidlo: N- --> N-y
novy par: Postup --> Postupy	 pravidlo: N- --> N-y
novy par: povrch --> povrchy	 pravidlo: N- --> N-y
novy par: prach --> prachy	 pravidlo: N- --> N-y
novy par: Prášil --> Prášily	 pravidlo: N- --> N-y
novy par: program --> programy	 pravidlo: N- --> N-y
novy par: projekt --> projekty	 pravidlo: N- --> N-y
novy par: prostor --> prostory	 pravidlo: N- --> N-y
novy par: předpis --> předpisy	 pravidlo: N- --> N-y
novy par: přijat --> přijaty	 pravidlo: N- --> N-y
novy par: ps --> psy	 pravidlo: N- --> N-y
novy par: Pu --> Puy	 pravidlo: N- --> N-y
novy par: Ráb --> Ráby	 pravidlo: N- --> N-y
novy par: rad --> rady	 pravidlo: N- --> N-y
novy par: Rain --> Rainy	 pravidlo: N- --> N-y
novy par: Ra --> Ray	 pravidlo: N- --> N-y
novy par: rejd --> rejdy	 pravidlo: N- --> N-y
novy par: Re --> Rey	 pravidlo: N- --> N-y
novy par: Rick --> Ricky	 pravidlo: N- --> N-y
novy par: Riche --> Richey	 pravidlo: N- --> N-y
novy par: Robb --> Robby	 pravidlo: N- --> N-y
novy par: Rom --> Romy	 pravidlo: N- --> N-y
novy par: roup --> roupy	 pravidlo: N- --> N-y
novy par: rys --> rysy	 pravidlo: N- --> N-y
novy par: Sar --> Sary	 pravidlo: N- --> N-y
novy par: Scott --> Scotty	 pravidlo: N- --> N-y
novy par: Selb --> Selby	 pravidlo: N- --> N-y
novy par: sestav --> sestavy	 pravidlo: N- --> N-y
novy par: Sila --> Silay	 pravidlo: N- --> N-y
novy par: síl --> síly	 pravidlo: N- --> N-y
novy par: skupin --> skupiny	 pravidlo: N- --> N-y
novy par: spád --> spády	 pravidlo: N- --> N-y
novy par: Stach --> Stachy	 pravidlo: N- --> N-y
novy par: stát --> státy	 pravidlo: N- --> N-y
novy par: struktur --> struktury	 pravidlo: N- --> N-y
novy par: Sund --> Sundy	 pravidlo: N- --> N-y
novy par: světlík --> světlíky	 pravidlo: N- --> N-y
novy par: svobod --> svobody	 pravidlo: N- --> N-y
novy par: systém --> systémy	 pravidlo: N- --> N-y
novy par: šat --> šaty	 pravidlo: N- --> N-y
novy par: Španěl --> Španěly	 pravidlo: N- --> N-y
novy par: Švýcar --> Švýcary	 pravidlo: N- --> N-y
novy par: tarok --> taroky	 pravidlo: N- --> N-y
novy par: tarot --> taroty	 pravidlo: N- --> N-y
novy par: Taur --> Taury	 pravidlo: N- --> N-y
novy par: Till --> Tilly	 pravidlo: N- --> N-y
novy par: Times --> Timesy	 pravidlo: N- --> N-y
novy par: tlak --> tlaky	 pravidlo: N- --> N-y
novy par: Toll --> Tolly	 pravidlo: N- --> N-y
novy par: Ton --> Tony	 pravidlo: N- --> N-y
novy par: trh --> trhy	 pravidlo: N- --> N-y
novy par: tympán --> tympány	 pravidlo: N- --> N-y
novy par: účel --> účely	 pravidlo: N- --> N-y
novy par: útok --> útoky	 pravidlo: N- --> N-y
novy par: Váh --> Váhy	 pravidlo: N- --> N-y
novy par: Valle --> Valley	 pravidlo: N- --> N-y
novy par: Var --> Vary	 pravidlo: N- --> N-y
novy par: voják --> vojáky	 pravidlo: N- --> N-y
novy par: vous --> vousy	 pravidlo: N- --> N-y
novy par: výbor --> výbory	 pravidlo: N- --> N-y
novy par: výkal --> výkaly	 pravidlo: N- --> N-y
novy par: vztah --> vztahy	 pravidlo: N- --> N-y
novy par: Wall --> Wally	 pravidlo: N- --> N-y
novy par: Will --> Willy	 pravidlo: N- --> N-y
novy par: Wood --> Woody	 pravidlo: N- --> N-y
novy par: Zachar --> Zachary	 pravidlo: N- --> N-y
novy par: zákon --> zákony	 pravidlo: N- --> N-y
novy par: zálet --> zálety	 pravidlo: N- --> N-y
novy par: zásad --> zásady	 pravidlo: N- --> N-y
novy par: závěr --> závěry	 pravidlo: N- --> N-y
novy par: zpráv --> zprávy	 pravidlo: N- --> N-y
novy par: způsob --> způsoby	 pravidlo: N- --> N-y
novy par: zrak --> zraky	 pravidlo: N- --> N-y
novy par: zvěd --> zvědy	 pravidlo: N- --> N-y
novy par: žen --> ženy	 pravidlo: N- --> N-y
novy par: Žid --> Židy	 pravidlo: N- --> N-y
novy par: Adorno --> Adornův	 pravidlo: N-o --> A-ův
novy par: Alonzo --> Alonzův	 pravidlo: N-o --> A-ův
novy par: Amadeo --> Amadeův	 pravidlo: N-o --> A-ův
novy par: Amado --> Amadův	 pravidlo: N-o --> A-ův
novy par: Aureliano --> Aurelianův	 pravidlo: N-o --> A-ův
novy par: Avogadro --> Avogadrův	 pravidlo: N-o --> A-ův
novy par: Bello --> Bellův	 pravidlo: N-o --> A-ův
novy par: Benito --> Benitův	 pravidlo: N-o --> A-ův
novy par: Bimbo --> Bimbův	 pravidlo: N-o --> A-ův
novy par: Bolzano --> Bolzanův	 pravidlo: N-o --> A-ův
novy par: Canaletto --> Canalettův	 pravidlo: N-o --> A-ův
novy par: Cardoso --> Cardosův	 pravidlo: N-o --> A-ův
novy par: Caro --> Carův	 pravidlo: N-o --> A-ův
novy par: Cavallo --> Cavallův	 pravidlo: N-o --> A-ův
novy par: Ciano --> Cianův	 pravidlo: N-o --> A-ův
novy par: Claudio --> Claudiův	 pravidlo: N-o --> A-ův
novy par: Constanzo --> Constanzův	 pravidlo: N-o --> A-ův
novy par: Correggio --> Correggiův	 pravidlo: N-o --> A-ův
novy par: Cosimo --> Cosimův	 pravidlo: N-o --> A-ův
novy par: Crespo --> Crespův	 pravidlo: N-o --> A-ův
novy par: Daňo --> Daňův	 pravidlo: N-o --> A-ův
novy par: DiCaprio --> DiCapriův	 pravidlo: N-o --> A-ův
novy par: Dino --> Dinův	 pravidlo: N-o --> A-ův
@	novy par: Dio --> Diův	 pravidlo: N-o --> A-ův
novy par: domino --> dominův	 pravidlo: N-o --> A-ův
novy par: Donato --> Donatův	 pravidlo: N-o --> A-ův
novy par: Eero --> Eerův	 pravidlo: N-o --> A-ův
novy par: Emilio --> Emiliův	 pravidlo: N-o --> A-ův
novy par: Enriko --> Enrikův	 pravidlo: N-o --> A-ův
novy par: Fidelio --> Fideliův	 pravidlo: N-o --> A-ův
novy par: Filippo --> Filippův	 pravidlo: N-o --> A-ův
novy par: Foscolo --> Foscolův	 pravidlo: N-o --> A-ův
novy par: Franko --> Frankův	 pravidlo: N-o --> A-ův
novy par: Gaňo --> Gaňův	 pravidlo: N-o --> A-ův
novy par: Geronimo --> Geronimův	 pravidlo: N-o --> A-ův
novy par: Giotto --> Giottův	 pravidlo: N-o --> A-ův
novy par: Giuliano --> Giulianův	 pravidlo: N-o --> A-ův
novy par: Grečko --> Grečkův	 pravidlo: N-o --> A-ův
novy par: Gregorio --> Gregoriův	 pravidlo: N-o --> A-ův
novy par: Hašimoto --> Hašimotův	 pravidlo: N-o --> A-ův
novy par: Hernando --> Hernandův	 pravidlo: N-o --> A-ův
novy par: Hirohito --> Hirohitův	 pravidlo: N-o --> A-ův
novy par: Hugo --> Hugův	 pravidlo: N-o --> A-ův
novy par: Humberto --> Humbertův	 pravidlo: N-o --> A-ův
novy par: Christo --> Christův	 pravidlo: N-o --> A-ův
novy par: Ignacio --> Ignaciův	 pravidlo: N-o --> A-ův
novy par: Inigo --> Inigův	 pravidlo: N-o --> A-ův
novy par: Ippolito --> Ippolitův	 pravidlo: N-o --> A-ův
novy par: Jamamoto --> Jamamotův	 pravidlo: N-o --> A-ův
novy par: Jamko --> Jamkův	 pravidlo: N-o --> A-ův
novy par: Jao --> Jaův	 pravidlo: N-o --> A-ův
novy par: kakapo --> kakapův	 pravidlo: N-o --> A-ův
novy par: Kelso --> Kelsův	 pravidlo: N-o --> A-ův
novy par: Kirijenko --> Kirijenkův	 pravidlo: N-o --> A-ův
novy par: Kosciuszko --> Kosciuszkův	 pravidlo: N-o --> A-ův
novy par: Křesadlo --> Křesadlův	 pravidlo: N-o --> A-ův
novy par: Kvido --> Kvidův	 pravidlo: N-o --> A-ův
novy par: Laro --> Larův	 pravidlo: N-o --> A-ův
novy par: Lasso --> Lassův	 pravidlo: N-o --> A-ův
novy par: Litviněnko --> Litviněnkův	 pravidlo: N-o --> A-ův
novy par: Lugo --> Lugův	 pravidlo: N-o --> A-ův
novy par: Machado --> Machadův	 pravidlo: N-o --> A-ův
novy par: Marino --> Marinův	 pravidlo: N-o --> A-ův
novy par: Matteo --> Matteův	 pravidlo: N-o --> A-ův
novy par: McMurdo --> McMurdův	 pravidlo: N-o --> A-ův
novy par: Merkucio --> Merkuciův	 pravidlo: N-o --> A-ův
novy par: Moreno --> Morenův	 pravidlo: N-o --> A-ův
novy par: Murillo --> Murillův	 pravidlo: N-o --> A-ův
novy par: Murko --> Murkův	 pravidlo: N-o --> A-ův
novy par: Navarro --> Navarrův	 pravidlo: N-o --> A-ův
novy par: Nazdratěnko --> Nazdratěnkův	 pravidlo: N-o --> A-ův
novy par: Niro --> Nirův	 pravidlo: N-o --> A-ův
novy par: Obasanjo --> Obasanjův	 pravidlo: N-o --> A-ův
novy par: Odo --> Odův	 pravidlo: N-o --> A-ův
novy par: Orlando --> Orlandův	 pravidlo: N-o --> A-ův
novy par: pako --> pakův	 pravidlo: N-o --> A-ův
novy par: Palladio --> Palladiův	 pravidlo: N-o --> A-ův
novy par: Pareto --> Paretův	 pravidlo: N-o --> A-ův
novy par: Payno --> Paynův	 pravidlo: N-o --> A-ův
novy par: Pazzio --> Pazziův	 pravidlo: N-o --> A-ův
novy par: Peano --> Peanův	 pravidlo: N-o --> A-ův
novy par: Pellegrino --> Pellegrinův	 pravidlo: N-o --> A-ův
novy par: Petko --> Petkův	 pravidlo: N-o --> A-ův
novy par: Peťko --> Peťkův	 pravidlo: N-o --> A-ův
novy par: Pietro --> Pietrův	 pravidlo: N-o --> A-ův
novy par: Pirko --> Pirkův	 pravidlo: N-o --> A-ův
novy par: Pizzaro --> Pizzarův	 pravidlo: N-o --> A-ův
novy par: Pluto --> Plutův	 pravidlo: N-o --> A-ův
@	novy par: poto --> potův	 pravidlo: N-o --> A-ův
novy par: Quasimodo --> Quasimodův	 pravidlo: N-o --> A-ův
novy par: Quevedo --> Quevedův	 pravidlo: N-o --> A-ův
novy par: Quinto --> Quintův	 pravidlo: N-o --> A-ův
novy par: Rambo --> Rambův	 pravidlo: N-o --> A-ův
novy par: Ricardo --> Ricardův	 pravidlo: N-o --> A-ův
novy par: Rodolfo --> Rodolfův	 pravidlo: N-o --> A-ův
novy par: Romaněnko --> Romaněnkův	 pravidlo: N-o --> A-ův
novy par: Romeo --> Romeův	 pravidlo: N-o --> A-ův
novy par: Romero --> Romerův	 pravidlo: N-o --> A-ův
novy par: Ruděnko --> Ruděnkův	 pravidlo: N-o --> A-ův
novy par: Sallo --> Sallův	 pravidlo: N-o --> A-ův
novy par: Sandino --> Sandinův	 pravidlo: N-o --> A-ův
novy par: Santo --> Santův	 pravidlo: N-o --> A-ův
novy par: Scipio --> Scipiův	 pravidlo: N-o --> A-ův
novy par: Sebastiano --> Sebastianův	 pravidlo: N-o --> A-ův
novy par: Serpico --> Serpicův	 pravidlo: N-o --> A-ův
novy par: Sixto --> Sixtův	 pravidlo: N-o --> A-ův
novy par: Sotho --> Sothův	 pravidlo: N-o --> A-ův
novy par: Strabo --> Strabův	 pravidlo: N-o --> A-ův
novy par: Suharto --> Suhartův	 pravidlo: N-o --> A-ův
novy par: Sukarno --> Sukarnův	 pravidlo: N-o --> A-ův
@	novy par: tato --> tatův	 pravidlo: N-o --> A-ův
novy par: Tiepolo --> Tiepolův	 pravidlo: N-o --> A-ův
novy par: Timoteo --> Timoteův	 pravidlo: N-o --> A-ův
novy par: Tintoretto --> Tintorettův	 pravidlo: N-o --> A-ův
novy par: Utrillo --> Utrillův	 pravidlo: N-o --> A-ův
novy par: Vallejo --> Vallejův	 pravidlo: N-o --> A-ův
novy par: Vaško --> Vaškův	 pravidlo: N-o --> A-ův
novy par: Verrazano --> Verrazanův	 pravidlo: N-o --> A-ův
novy par: Vigo --> Vigův	 pravidlo: N-o --> A-ův
novy par: Brodsko --> Brodský	 pravidlo: N-o --> N-ý
novy par: Javornicko --> Javornický	 pravidlo: N-o --> N-ý
novy par: Jičínsko --> Jičínský	 pravidlo: N-o --> N-ý
novy par: Jirkovsko --> Jirkovský	 pravidlo: N-o --> N-ý
novy par: Kaplicko --> Kaplický	 pravidlo: N-o --> N-ý
novy par: Korutansko --> Korutanský	 pravidlo: N-o --> N-ý
novy par: Lipsko --> Lipský	 pravidlo: N-o --> N-ý
novy par: měkko --> měkký	 pravidlo: N-o --> N-ý
novy par: Netolicko --> Netolický	 pravidlo: N-o --> N-ý
novy par: Pavlovsko --> Pavlovský	 pravidlo: N-o --> N-ý
novy par: Stránsko --> Stránský	 pravidlo: N-o --> N-ý
novy par: Štýrsko --> Štýrský	 pravidlo: N-o --> N-ý
novy par: vojensko --> vojenský	 pravidlo: N-o --> N-ý
novy par: volno --> volný	 pravidlo: N-o --> N-ý
novy par: Vrbensko --> Vrbenský	 pravidlo: N-o --> N-ý
novy par: adar --> adas	 pravidlo: N-r --> N-s
novy par: air --> ais	 pravidlo: N-r --> N-s
novy par: Arber --> Arbes	 pravidlo: N-r --> N-s
novy par: Artur --> Artus	 pravidlo: N-r --> N-s
novy par: Baar --> Baas	 pravidlo: N-r --> N-s
novy par: Balmer --> Balmes	 pravidlo: N-r --> N-s
novy par: Bambar --> Bambas	 pravidlo: N-r --> N-s
novy par: Boucher --> Bouches	 pravidlo: N-r --> N-s
novy par: Dir --> Dis	 pravidlo: N-r --> N-s
novy par: Emr --> Ems	 pravidlo: N-r --> N-s
novy par: eser --> eses	 pravidlo: N-r --> N-s
novy par: Fowler --> Fowles	 pravidlo: N-r --> N-s
novy par: Giler --> Giles	 pravidlo: N-r --> N-s
novy par: Giller --> Gilles	 pravidlo: N-r --> N-s
novy par: Grover --> Groves	 pravidlo: N-r --> N-s
novy par: Gur --> Gus	 pravidlo: N-r --> N-s
novy par: Hainer --> Haines	 pravidlo: N-r --> N-s
novy par: Hanner --> Hannes	 pravidlo: N-r --> N-s
novy par: Hayer --> Hayes	 pravidlo: N-r --> N-s
novy par: Holmer --> Holmes	 pravidlo: N-r --> N-s
novy par: Kasr --> Kass	 pravidlo: N-r --> N-s
novy par: klipr --> klips	 pravidlo: N-r --> N-s
novy par: kokr --> koks	 pravidlo: N-r --> N-s
novy par: Kolar --> Kolas	 pravidlo: N-r --> N-s
novy par: kopr --> kops	 pravidlo: N-r --> N-s
novy par: Kotar --> Kotas	 pravidlo: N-r --> N-s
novy par: Kroner --> Krones	 pravidlo: N-r --> N-s
novy par: kukr --> kuks	 pravidlo: N-r --> N-s
novy par: Lamar --> Lamas	 pravidlo: N-r --> N-s
novy par: Lander --> Landes	 pravidlo: N-r --> N-s
novy par: Maar --> Maas	 pravidlo: N-r --> N-s
novy par: Mater --> Mates	 pravidlo: N-r --> N-s
novy par: Maurer --> Maures	 pravidlo: N-r --> N-s
novy par: Miler --> Miles	 pravidlo: N-r --> N-s
novy par: Milner --> Milnes	 pravidlo: N-r --> N-s
novy par: Moser --> Moses	 pravidlo: N-r --> N-s
novy par: pager --> pages	 pravidlo: N-r --> N-s
novy par: pair --> pais	 pravidlo: N-r --> N-s
novy par: Parker --> Parkes	 pravidlo: N-r --> N-s
novy par: parter --> partes	 pravidlo: N-r --> N-s
novy par: Piper --> Pipes	 pravidlo: N-r --> N-s
novy par: ponor --> ponos	 pravidlo: N-r --> N-s
novy par: příměr --> příměs	 pravidlo: N-r --> N-s
novy par: Reiner --> Reines	 pravidlo: N-r --> N-s
novy par: Renner --> Rennes	 pravidlo: N-r --> N-s
novy par: Rur --> Rus	 pravidlo: N-r --> N-s
novy par: Sachr --> Sachs	 pravidlo: N-r --> N-s
novy par: Sakr --> Saks	 pravidlo: N-r --> N-s
novy par: směr --> směs	 pravidlo: N-r --> N-s
novy par: Stoker --> Stokes	 pravidlo: N-r --> N-s
novy par: únor --> únos	 pravidlo: N-r --> N-s
novy par: Vilar --> Vilas	 pravidlo: N-r --> N-s
novy par: vir --> vis	 pravidlo: N-r --> N-s
novy par: výpar --> výpas	 pravidlo: N-r --> N-s
novy par: Weir --> Weis	 pravidlo: N-r --> N-s
novy par: Weller --> Welles	 pravidlo: N-r --> N-s
novy par: závěr --> závěs	 pravidlo: N-r --> N-s
novy par: Abrahams --> Abrahamová	 pravidlo: N-s --> N-ová
novy par: Hodges --> Hodgeová	 pravidlo: N-s --> N-ová
novy par: Hons --> Honová	 pravidlo: N-s --> N-ová
novy par: Roots --> Rootová	 pravidlo: N-s --> N-ová
novy par: Sanders --> Sanderová	 pravidlo: N-s --> N-ová
novy par: Spiess --> Spiesová	 pravidlo: N-s --> N-ová
novy par: Turks --> Turková	 pravidlo: N-s --> N-ová
novy par: abolicionista --> abolicionismus	 pravidlo: N-ta --> N-mus
novy par: absolutista --> absolutismus	 pravidlo: N-ta --> N-mus
novy par: aktivista --> aktivismus	 pravidlo: N-ta --> N-mus
novy par: alpinista --> alpinismus	 pravidlo: N-ta --> N-mus
novy par: altruista --> altruismus	 pravidlo: N-ta --> N-mus
novy par: anarchista --> anarchismus	 pravidlo: N-ta --> N-mus
novy par: animista --> animismus	 pravidlo: N-ta --> N-mus
novy par: antagonista --> antagonismus	 pravidlo: N-ta --> N-mus
novy par: ateista --> ateismus	 pravidlo: N-ta --> N-mus
novy par: autista --> autismus	 pravidlo: N-ta --> N-mus
novy par: automobilista --> automobilismus	 pravidlo: N-ta --> N-mus
novy par: baptista --> baptismus	 pravidlo: N-ta --> N-mus
novy par: buddhista --> buddhismus	 pravidlo: N-ta --> N-mus
novy par: carista --> carismus	 pravidlo: N-ta --> N-mus
novy par: Cata --> Camus	 pravidlo: N-ta --> N-mus
novy par: centralista --> centralismus	 pravidlo: N-ta --> N-mus
novy par: dadaista --> dadaismus	 pravidlo: N-ta --> N-mus
novy par: darwinista --> darwinismus	 pravidlo: N-ta --> N-mus
novy par: defétista --> defétismus	 pravidlo: N-ta --> N-mus
novy par: deista --> deismus	 pravidlo: N-ta --> N-mus
novy par: determinista --> determinismus	 pravidlo: N-ta --> N-mus
novy par: dualista --> dualismus	 pravidlo: N-ta --> N-mus
novy par: egoista --> egoismus	 pravidlo: N-ta --> N-mus
novy par: entuziasta --> entuziasmus	 pravidlo: N-ta --> N-mus
novy par: environmentalista --> environmentalismus	 pravidlo: N-ta --> N-mus
novy par: evolucionista --> evolucionismus	 pravidlo: N-ta --> N-mus
novy par: exhibicionista --> exhibicionismus	 pravidlo: N-ta --> N-mus
novy par: existencialista --> existencialismus	 pravidlo: N-ta --> N-mus
novy par: expresionista --> expresionismus	 pravidlo: N-ta --> N-mus
novy par: extremista --> extremismus	 pravidlo: N-ta --> N-mus
novy par: extrémista --> extrémismus	 pravidlo: N-ta --> N-mus
novy par: fašista --> fašismus	 pravidlo: N-ta --> N-mus
novy par: fatalista --> fatalismus	 pravidlo: N-ta --> N-mus
novy par: federalista --> federalismus	 pravidlo: N-ta --> N-mus
novy par: feminista --> feminismus	 pravidlo: N-ta --> N-mus
novy par: fetišista --> fetišismus	 pravidlo: N-ta --> N-mus
novy par: formalista --> formalismus	 pravidlo: N-ta --> N-mus
novy par: fundamentalista --> fundamentalismus	 pravidlo: N-ta --> N-mus
novy par: funkcionalista --> funkcionalismus	 pravidlo: N-ta --> N-mus
novy par: futurista --> futurismus	 pravidlo: N-ta --> N-mus
novy par: hédonista --> hédonismus	 pravidlo: N-ta --> N-mus
novy par: helénista --> helénismus	 pravidlo: N-ta --> N-mus
novy par: hinduista --> hinduismus	 pravidlo: N-ta --> N-mus
novy par: humanista --> humanismus	 pravidlo: N-ta --> N-mus
novy par: chiliasta --> chiliasmus	 pravidlo: N-ta --> N-mus
novy par: idealista --> idealismus	 pravidlo: N-ta --> N-mus
novy par: iluzionista --> iluzionismus	 pravidlo: N-ta --> N-mus
novy par: imperialista --> imperialismus	 pravidlo: N-ta --> N-mus
novy par: impresionista --> impresionismus	 pravidlo: N-ta --> N-mus
novy par: individualista --> individualismus	 pravidlo: N-ta --> N-mus
novy par: internacionalista --> internacionalismus	 pravidlo: N-ta --> N-mus
novy par: iracionalista --> iracionalismus	 pravidlo: N-ta --> N-mus
novy par: izolacionista --> izolacionismus	 pravidlo: N-ta --> N-mus
novy par: judaista --> judaismus	 pravidlo: N-ta --> N-mus
novy par: kapitalista --> kapitalismus	 pravidlo: N-ta --> N-mus
novy par: kariérista --> kariérismus	 pravidlo: N-ta --> N-mus
novy par: klasicista --> klasicismus	 pravidlo: N-ta --> N-mus
novy par: kolektivista --> kolektivismus	 pravidlo: N-ta --> N-mus
novy par: kolonialista --> kolonialismus	 pravidlo: N-ta --> N-mus
novy par: kolorista --> kolorismus	 pravidlo: N-ta --> N-mus
novy par: komunista --> komunismus	 pravidlo: N-ta --> N-mus
novy par: konformista --> konformismus	 pravidlo: N-ta --> N-mus
novy par: kubista --> kubismus	 pravidlo: N-ta --> N-mus
novy par: leninista --> leninismus	 pravidlo: N-ta --> N-mus
novy par: liberalista --> liberalismus	 pravidlo: N-ta --> N-mus
novy par: lobbista --> lobbismus	 pravidlo: N-ta --> N-mus
novy par: manýrista --> manýrismus	 pravidlo: N-ta --> N-mus
novy par: marxista --> marxismus	 pravidlo: N-ta --> N-mus
novy par: masochista --> masochismus	 pravidlo: N-ta --> N-mus
novy par: materialista --> materialismus	 pravidlo: N-ta --> N-mus
novy par: mechanista --> mechanismus	 pravidlo: N-ta --> N-mus
novy par: mentalista --> mentalismus	 pravidlo: N-ta --> N-mus
novy par: merkantilista --> merkantilismus	 pravidlo: N-ta --> N-mus
novy par: militarista --> militarismus	 pravidlo: N-ta --> N-mus
novy par: minimalista --> minimalismus	 pravidlo: N-ta --> N-mus
novy par: modernista --> modernismus	 pravidlo: N-ta --> N-mus
novy par: monetarista --> monetarismus	 pravidlo: N-ta --> N-mus
novy par: monista --> monismus	 pravidlo: N-ta --> N-mus
novy par: monoteista --> monoteismus	 pravidlo: N-ta --> N-mus
novy par: Mota --> Momus	 pravidlo: N-ta --> N-mus
novy par: motorista --> motorismus	 pravidlo: N-ta --> N-mus
novy par: nacionalista --> nacionalismus	 pravidlo: N-ta --> N-mus
novy par: nacista --> nacismus	 pravidlo: N-ta --> N-mus
novy par: naturalista --> naturalismus	 pravidlo: N-ta --> N-mus
novy par: negativista --> negativismus	 pravidlo: N-ta --> N-mus
novy par: neofašista --> neofašismus	 pravidlo: N-ta --> N-mus
novy par: neonacista --> neonacismus	 pravidlo: N-ta --> N-mus
novy par: nihilista --> nihilismus	 pravidlo: N-ta --> N-mus
novy par: nudista --> nudismus	 pravidlo: N-ta --> N-mus
novy par: okultista --> okultismus	 pravidlo: N-ta --> N-mus
novy par: oportunista --> oportunismus	 pravidlo: N-ta --> N-mus
novy par: optimista --> optimismus	 pravidlo: N-ta --> N-mus
novy par: pacifista --> pacifismus	 pravidlo: N-ta --> N-mus
novy par: panteista --> panteismus	 pravidlo: N-ta --> N-mus
