absolutno 	 absolut-n-o 	 absolut-no
sloupoví 	 sloup-ov-í 	 sloup-oví
slovensko 	 sloven-sk-o 	 sloven-sko
slovným 	 slov-n-ý-m 	 slov-n-ým
sluchu 	 sluch-u 	 sluchu
slízal 	 s-líz-a-l 	 slíz-a-l
smekl 	 s-mek-l 	 smekl
smiřovat 	 s-miř-ova-t 	 smiř-ovat
smrtelném 	 s-mr-tel-n-é-m 	 smrtelném
smrtelnému 	 s-mr-tel-n-é-mu 	 smrtelnému
smyslových 	 s-mysl-ov-ý-ch 	 smysl-ov-ých
smésti 	 s-mést-i 	 smésti
smířit 	 s-míř-i-t 	 smíř-i-t
směrem 	 s-měr-e-m 	 směr-em
snahami 	 snah-a-m-i 	 snah-ami
snů 	 sn-ů 	 snů
sobectví 	 sob-ec-tv-í 	 sobectví
sobě 	 s-ob-ě 	 sob-ě
socializovat 	 soci-al-iz-ova-t 	 social-izovat
solarmax 	 solar-max 	 solarmax
solidních 	 solid-n-í-ch 	 solid-n-ích
sonduje 	 sond-uje 	 sonduje
sotva 	 sotva 	 sotv-a
souboj 	 sou-boj 	 souboj
souborů 	 sou-bor-ů 	 soubor-ů
soucitně 	 sou-cit-n-ě 	 soucit-n-ě
souhlasný 	 sou-hlas-n-ý 	 souhlas-n-ý
souhlasí 	 sou-hlas-í 	 souhlas-í
soukromník 	 sou-krom-ník 	 soukromník
soused 	 sou-sed 	 soused
sousedit 	 sou-sed-i-t 	 soused-i-t
sousedního 	 sou-sed-n-í-ho 	 sousedn-ího
soustava 	 sou-stav-a 	 soustav-a
soustružit 	 sou-struž-i-t 	 sou-struži-t
soutěž 	 sou-těž 	 soutěž
soutěže 	 sou-těž-e 	 soutěže
soutěži 	 sou-těž-i 	 soutěži
soutěžit 	 sou-těž-i-t 	 soutěž-i-t
souvislost 	 sou-vis-l-ost 	 souvisl-ost
současná 	 sou-čas-n-á 	 současn-á
spadla 	 s-pad-l-a 	 spadl-a
spadne 	 s-pad-ne 	 spadne
spaly 	 sp-a-l-y 	 spal-y
specialisté 	 speci-al-ist-é 	 specialisté
specializované 	 speci-al-iz-ova-n-é 	 speci-al-iz-ova-né
specifickým 	 speci-fic-k-ý-m 	 specifick-ým
speciál 	 speci-ál 	 speciál
spekulací 	 spekul-ac-í 	 spekulac-í
spekulantem 	 spek-ul-ant-e-m 	 spekulantem
spekulativní 	 spekul-at-iv-n-í 	 spekulativn-í
spis 	 s-pis 	 spis
spisovat 	 s-pis-ova-t 	 spis-ovat
splatit 	 s-plat-i-t 	 splat-i-t
splašené 	 s-plaš-en-é 	 splaš-ené
splnit 	 s-pln-i-t 	 spln-i-t
splněno 	 s-pln-ěn-o 	 spln-ěn-o
spojkami 	 s-poj-k-a-m-i 	 spojk-ami
spokojena 	 s-po-koj-en-a 	 spokoj-en-a
spokojíte 	 s-pokoj-í-te 	 spokoj-í-te
spolehliví 	 s-po-leh-liv-í 	 spolehliv-í
společných 	 spol-eč-n-ých 	 společ-n-ých
spolupodepsat 	 spol-u-pode-ps-a-t 	 spolu-podepsat
spolupůsobit 	 spol-u-působ-i-t 	 spolupůsobi-t
spolutvořit 	 spol-u-tvoř-i-t 	 spolu-tvoři-t
spoléhej 	 s-po-léh-ej 	 spoléhej
sponzorsky 	 sponzor-sk-y 	 sponzorsk-y
spotřebitel 	 s-po-třeb-i-tel 	 spotřeb-i-tel
spotřebitele 	 s-po-třeb-i-tel-e 	 spo-třeb-i-tele
spoután 	 s-pout-á-n 	 spoután
spočítal 	 s-po-čít-a-l 	 spočít-a-l
spočítá 	 s-po-čít-á 	 spočít-á
spoří 	 s-poř-í 	 spoř-í
spravedlivost 	 s-prav-ed-l-iv-ost 	 spravedl-ivost
spáchat 	 s-pách-a-t 	 spách-a-t
srdečně 	 srd-eč-n-ě 	 srd-ečn-ě
srovnatelná 	 s-rov-n-a-teln-á 	 srovn-atelná
srozumitelně 	 s-roz-um-i-teln-ě 	 srozum-i-telně
stanoven 	 stanov-en 	 stanoven
stanovení 	 stan-ov-en-í 	 stanoven-í
stanovil 	 stanov-i-l 	 stan-ovi-l
stanovit 	 stan-ov-i-t 	 stanovi-t
stanoví 	 stan-ov-í 	 stan-oví
starat 	 star-a-t 	 star-at
starobní 	 star-ob-n-í 	 starob-n-í
starožitných 	 star-o-ži-t-n-ých 	 starožit-n-ých
starých 	 star-ý-ch 	 starých
stavení 	 sta-v-en-í 	 stav-en-í
staříkovi 	 stař-ík-ovi 	 staříkovi
staška 	 staš-k-a 	 stašk-a
stejkaně 	 s-tejk-a-n-ě 	 stejk-an-ě
stejném 	 stej-n-é-m 	 stej-n-ém
stipendium 	 stipendi-um 	 stipendium
stlačit 	 s-tlač-i-t 	 stlači-t
stlouci 	 s-tlouc-i 	 stlouc-i
stokorunovou 	 st-o-korun-ov-ou 	 stokorunovou
století 	 st-o-let-í 	 stolet-í
stones 	 stone-s 	 stones
stovkou 	 st-ovk-ou 	 stov-k-ou
stovku 	 st-ovk-u 	 stovk-u
strahova 	 strahov-a 	 strah-ova
strahově 	 strahov-ě 	 strah-ově
strava 	 s-trav-a 	 strav-a
strašnicích 	 strašnic-í-ch 	 straš-nic-ích
strnutí 	 s-trn-u-t-í 	 strnut-í
stroje 	 stroj-e 	 stroje
strojírenské 	 stroj-íren-sk-é 	 strojírenské
stránku 	 strán-k-u 	 stránk-u
student 	 stud-ent 	 student
studentů 	 stud-ent-ů 	 student-ů
studenět 	 stud-en-ě-t 	 studenět
studijní 	 stud-ij-n-í 	 studijn-í
studiích 	 stud-i-í-ch 	 stud-i-ích
stulit 	 s-tul-i-t 	 stul-i-t
stužka 	 stuž-k-a 	 stužk-a
stála 	 stá-l-a 	 stál-a
stýkati 	 s-týk-a-ti 	 stýk-ati
stěžovatel 	 stěž-ova-tel 	 s-těž-ova-tel
střechách 	 střech-á-ch 	 střech-ách
střelit 	 střel-i-t 	 střeli-t
střepávat 	 s-třep-á-v-a-t 	 střep-á-v-a-t
stříbro 	 stříbr-o 	 stříbro
stříbrolesklého 	 stříbr-o-lesk-l-é-ho 	 stříbrolesklého
střízlivět 	 stříz-l-iv-ě-t 	 stříz-liv-ě-t
sundavat 	 s-und-a-v-a-t 	 sund-ava-t
superdobrý 	 super-dobr-ý 	 sup-erdobr-ý
supernova 	 super-nova 	 supern-ova
supraphon 	 supra-phon 	 supraphon
svalnatý 	 sval-nat-ý 	 svaln-at-ý
svedena 	 s-ved-en-a 	 sved-en-a
svlékat 	 s-vlék-a-t 	 svlék-a-t
svlékla 	 s-vlék-l-a 	 svlékl-a
svraštil 	 s-vrašt-i-l 	 svraštil
svrtět 	 s-vrt-ě-t 	 svrt-ě-t
svát 	 s-vá-t 	 svá-t
svídnici 	 svídnic-i 	 svíd-n-ic-i
svítily 	 svít-i-l-y 	 svít-il-y
svědkové 	 s-věd-k-ové 	 svěd-k-ov-é
svědomím 	 s-věd-om-í-m 	 svěd-omím
světelné 	 svět-el-n-é 	 světelné
světelných 	 svět-el-n-ých 	 světeln-ých
světově 	 svět-ov-ě 	 svět-ově
světskému 	 svět-sk-ému 	 svět-skému
synchronizovat 	 syn-chron-iz-ova-t 	 synchronizovat
systematický 	 system-at-ic-k-ý 	 systematický
systémem 	 systém-e-m 	 systémem
sáňkovávací 	 sáň-k-ová-v-a-c-í 	 sáňková-v-ac-í
sít 	 sí-t 	 sít
sčítávat 	 s-čít-á-v-a-t 	 sčít-á-v-a-t
sžívat 	 s-ží-v-a-t 	 sžív-a-t
tabule 	 tabul-e 	 tabule
tahal 	 tah-a-l 	 taha-l
tajemství 	 taj-em-stv-í 	 tajemstv-í
tajná 	 taj-n-á 	 tajn-á
takzvaném 	 tak-zv-a-n-é-m 	 takzv-an-ém
také 	 také 	 tak-é
takřečená 	 tak-řeč-en-á 	 takřeč-en-á
tati 	 tat-i 	 tati
taxík 	 tax-ík 	 taxík
technickým 	 techn-ic-k-ým 	 techn-ick-ým
technika 	 techn-ik-a 	 technik-a
telat 	 tel-at 	 tela-t
telefonního 	 tele-fon-n-í-ho 	 tele-fon-ního
temporalizovatelný 	 tempor-al-izova-teln-ý 	 temporal-izovatelný
tendenci 	 tend-enc-i 	 tendenc-i
tenhle 	 t-en-hle 	 tenhle
tenounkým 	 ten-oun-k-ý-m 	 tenounk-ým
terminologii 	 termino-log-i-i 	 terminologii
termínovat 	 termín-ova-t 	 termín-ovat
tesklivých 	 tesk-l-iv-ý-ch 	 teskl-iv-ých
tetička 	 tet-ič-k-a 	 tet-ičk-a
textil 	 textil 	 text-i-l
thajska 	 thaj-sk-a 	 thajsk-a
theodicée 	 theodicée 	 theod-ic-ée
tikem 	 tik-e-m 	 tik-em
tipnout 	 tip-nou-t 	 tip-nout
tipovali 	 tip-ova-l-i 	 tip-oval-i
tisovitý 	 tis-ovit-ý 	 tisovit-ý
tj 	 t-j 	 tj
tkalcovnictví 	 tka-lc-ovnic-tv-í 	 tkalc-ov-nictví
tlapkách 	 tlap-k-á-ch 	 tlap-k-ách
totožný 	 totožn-ý 	 totož-n-ý
tou 	 t-ou 	 tou
tragičnost 	 trag-ič-n-ost 	 trag-ičn-ost
transplantační 	 trans-plant-ač-n-í 	 transplantační
treperendo 	 treper-end-o 	 treperendo
trestat 	 trest-a-t 	 trest-at
trochu 	 troch-u 	 trochu
trojí 	 tr-oj-í 	 troj-í
trpělivě 	 trp-ě-l-iv-ě 	 trpěl-iv-ě
truhlářský 	 truhl-ář-sk-ý 	 truhlářsk-ý
trutnovský 	 trutnov-sk-ý 	 trutn-ovsk-ý
tržba 	 trž-b-a 	 tržb-a
tull 	 tull 	 tul-l
tupnout 	 tup-nou-t 	 tup-nout
turbodmychadlo 	 turbo-dmych-adl-o 	 turbodmychadlo
turbovrtulových 	 turbo-vrt-ul-ov-ých 	 turb-ovrtulových
turecký 	 turec-k-ý 	 tur-eck-ý
turistiky 	 tur-ist-ik-y 	 turistik-y
turné 	 turné 	 turn-é
tužba 	 tuž-b-a 	 tužb-a
tužeb 	 tuž-eb 	 tužeb
tvrzeními 	 tvrz-en-í-m-i 	 tvrz-eními
tzv 	 t-z-v 	 tzv
táhlo 	 táh-l-o 	 táhl-o
téhož 	 t-é-ho-ž 	 téhož
tématu 	 tém-at-u 	 témat-u
tímhle 	 t-í-m-hle 	 tímhle
tímto 	 t-í-m-t-o 	 tímt-o
tít 	 t-í-t 	 tít
týrat 	 týr-a-t 	 týra-t
těmi 	 t-ě-m-i 	 těmi
těšili 	 těš-i-l-i 	 těši-l-i
třemi 	 tř-e-m-i 	 třemi
třepetat 	 třep-et-a-t 	 třepeta-t
třesoucí 	 třes-ou-c-í 	 třesouc-í
třetím 	 tř-e-t-í-m 	 třet-í-m
třiceti 	 tř-i-cet-i 	 třiceti
třineckých 	 třinec-k-ých 	 třineck-ých
třísla 	 třís-l-a 	 třísl-a
udýchanej 	 u-dých-a-n-ej 	 u-dýchan-ej
uhasnout 	 u-has-nou-t 	 uhas-nou-t
uhořet 	 u-hoř-e-t 	 uhoř-e-t
ujelo 	 u-je-l-o 	 ujelo
ukazuju 	 u-kaz-u-j-u 	 u-kaz-uj-u
ukaž 	 u-kaž 	 ukaž
ukrutným 	 u-krut-n-ý-m 	 u-krut-n-ým
ukryl 	 u-kry-l 	 u-kryl
ukuckat 	 u-kuc-k-a-t 	 u-kuck-a-t
ulici 	 ul-ic-i 	 ulic-i
uloupení 	 u-loup-en-í 	 uloup-en-í
ulovit 	 u-lov-i-t 	 ulov-i-t
uloženými 	 u-lož-en-ý-m-i 	 u-lož-en-ými
ulíznout 	 u-líz-nou-t 	 ulíz-nou-t
umačkat 	 u-mačk-a-t 	 umačk-at
umdlívat 	 u-mdl-í-v-a-t 	 umdl-í-v-a-t
umožnilo 	 u-možn-i-l-o 	 u-mož-n-il-o
umožnily 	 u-možn-i-l-y 	 u-možn-il-y
umrtvení 	 u-mr-tv-en-í 	 umrtv-en-í
uměle 	 u-m-ě-l-e 	 uměle
umělkovat 	 um-ě-l-k-ova-t 	 umělk-ova-t
umělostech 	 u-m-ě-l-ost-e-ch 	 umělost-ech
unese 	 u-nes-e 	 u-nese
univerzitního 	 uni-verz-it-n-ího 	 univerzitn-ího
uplynulo 	 u-ply-nu-l-o 	 u-ply-nul-o
upokojovat 	 u-po-koj-ova-t 	 u-pokoj-ova-t
upozornit 	 u-po-zor-n-i-t 	 upozor-n-i-t
upozorňujeme 	 u-po-zor-ň-uje-me 	 u-pozorňujeme
upravili 	 u-prav-i-l-i 	 u-prav-i-li
urgenci 	 urg-enc-i 	 urgenc-i
urgencích 	 urgenc-ích 	 urgen-c-ích
urychlila 	 u-rychl-i-l-a 	 u-rychl-il-a
určeno 	 u-rč-en-o 	 urč-en-o
určenou 	 u-rč-en-ou 	 urč-en-ou
určovaly 	 u-rč-ova-l-y 	 urč-ova-l-y
usa 	 u-s-a 	 usa
uschovávat 	 u-s-chov-á-v-a-t 	 u-schov-á-v-a-t
usd 	 u-s-d 	 usd
usilovně 	 u-sil-ov-n-ě 	 usil-ov-n-ě
usiluje 	 u-sil-uje 	 usiluje
uskladňovat 	 u-s-klad-ň-ova-t 	 u-sklad-ň-ovat
uskutečnila 	 u-skuteč-n-i-l-a 	 u-skuteč-n-il-a
uskutečnily 	 u-s-kut-eč-n-i-l-y 	 u-skuteč-nily
uspokojen 	 u-s-po-koj-en 	 u-spokojen
uspořádat 	 u-s-po-řád-a-t 	 u-spořád-a-t
ustanoveními 	 u-stanov-en-ími 	 u-stan-oven-ími
ustrnule 	 u-s-trn-u-l-e 	 u-str-nule
usvědčit 	 u-svědč-i-t 	 u-svěd-č-i-t
utrmácet 	 u-trmác-e-t 	 u-trmác-et
utřel 	 u-tř-e-l 	 u-třel
uvidíte 	 u-vid-í-te 	 uvid-í-te
uváděním 	 u-vád-ě-n-ím 	 u-vád-ěn-ím
uzavírá 	 u-za-vír-á 	 uzavír-á
uzavřeli 	 u-za-vř-e-l-i 	 u-zavř-e-li
uzdraví 	 u-zdrav-í 	 u-zdr-av-í
uzpůsobit 	 u-z-působ-i-t 	 u-způsob-i-t
učitel 	 uč-i-tel 	 uči-tel
učitelů 	 uč-i-tel-ů 	 uči-tel-ů
uštelovavší 	 u-štel-ova-vš-í 	 u-štel-ovavší
uším 	 uš-ím 	 uší-m
užitečné 	 u-žit-eč-n-é 	 užiteč-n-é
užívá 	 u-ží-v-á 	 u-žív-á
vakuářskost 	 vaku-ář-sk-ost 	 vakuářskost
valašské 	 valaš-sk-é 	 valašsk-é
vanka 	 van-k-a 	 vank-a
vašnosti 	 vaš-n-ost-i 	 vaš-n-osti
vcházet 	 v-cház-e-t 	 vcház-et
vdechnout 	 v-dech-nou-t 	 vdech-nou-t
vegetovat 	 veget-ova-t 	 veget-ovat
vejci 	 vej-c-i 	 vejc-i
velikost 	 vel-ik-ost 	 vel-ikost
velká 	 vel-k-á 	 velk-á
velkého 	 vel-k-é-ho 	 velk-ého
velvyslanectví 	 vel-vy-sl-a-n-ec-tv-í 	 vel-vyslanectví
vemluvit 	 ve-mluv-i-t 	 vemluv-i-t
venkovan 	 ven-k-ov-an 	 venk-ovan
ventures 	 venture-s 	 ventures
venčit 	 ven-č-i-t 	 venč-i-t
vepsat 	 ve-ps-a-t 	 veps-a-t
veslař 	 vesl-ař 	 veslař
vesnici 	 ves-nic-i 	 ves-nici
vespolek 	 ve-s-pol-ek 	 vespolek
vetkat 	 ve-tk-a-t 	 vetk-a-t
vetkávat 	 ve-tk-á-v-a-t 	 vetk-á-v-a-t
vezmeš 	 vez-m-e-š 	 vez-meš
večera 	 večer-a 	 večera
veřejně 	 veř-ej-n-ě 	 veřejn-ě
veškeré 	 veš-k-er-é 	 vešk-eré
veškerým 	 veš-k-er-ý-m 	 vešk-erým
vhodným 	 v-hod-n-ým 	 vhod-n-ým
viděls 	 vid-ě-l-s 	 viděls
vinohradského 	 vinohrad-sk-é-ho 	 vin-ohradského
vkluzovávaně 	 v-kluz-ová-v-a-n-ě 	 v-kluz-ová-van-ě
vladařit 	 vlad-ař-i-t 	 vladaři-t
vlastního 	 vlast-n-í-ho 	 vlast-n-ího
vlaštovčí 	 vlašt-ov-č-í 	 vlašt-ovč-í
vlažnět 	 vlaž-n-ě-t 	 vlaž-n-ět
vlepovat 	 v-lep-ova-t 	 vlep-ova-t
vložit 	 v-lož-i-t 	 vlož-i-t
vložkovací 	 v-lož-k-ova-c-í 	 vložk-ovac-í
vloží 	 v-lož-í 	 vlož-í
vládávatelnost 	 vlád-á-v-a-teln-ost 	 vlád-á-v-a-telnost
vlézt 	 v-léz-t 	 vléz-t
vlítat 	 v-lít-a-t 	 vlít-a-t
vnitřnostech 	 v-nitř-n-ost-e-ch 	 v-nitř-n-ost-ech
vobléknutelný 	 v-ob-lék-nu-teln-ý 	 vob-lék-nu-teln-ý
vodolově 	 vodolov-ě 	 vodol-ov-ě
vodotiskem 	 vod-o-tisk-em 	 vodotiskem
vojenskou 	 voj-en-sk-ou 	 vojen-sk-ou
volán 	 vol-á-n 	 volán
vozidly 	 voz-i-dl-y 	 vozidl-y
vpisovat 	 v-pis-ova-t 	 vpis-ova-t
vplížit 	 v-plíž-i-t 	 vplíž-i-t
vproudit 	 v-proud-i-t 	 vproud-i-t
vpít 	 v-pí-t 	 vpí-t
vraštět 	 vraš-t-ě-t 	 vrašt-ět
vrcholu 	 vrch-ol-u 	 vrchol-u
vrtulníky 	 vrt-ul-ník-y 	 vrtul-ník-y
vrátnice 	 vrát-nic-e 	 vrát-n-ic-e
vstoupil 	 v-stoup-i-l 	 vstoup-i-l
vstoupnutelný 	 v-stoup-nu-teln-ý 	 vstoup-nu-teln-ý
vstup 	 v-stup 	 vstup
vstupenek 	 vs-tup-en-ek 	 v-stup-enek
vstupenka 	 v-stup-enk-a 	 vstupenk-a
vstupenky 	 vstup-enk-y 	 vstupenk-y
vtiskávat 	 v-tisk-á-v-a-t 	 vtisk-á-va-t
vtokový 	 v-tok-ov-ý 	 vtok-ov-ý
vtírá 	 v-tír-á 	 vtír-á
vyabstrahovat 	 vy-abs-trah-ova-t 	 vyabstrah-ova-t
vybafčit 	 vy-baf-č-i-t 	 vy-bafč-i-t
vybojovat 	 vy-boj-ova-t 	 vyboj-ova-t
vybryndat 	 vy-brynd-a-t 	 vy-brynd-at
vybírá 	 vy-bír-á 	 vybír-á
vybízí 	 vy-bíz-í 	 vybíz-í
vyceňovat 	 vy-ceň-ova-t 	 vyceň-ovat
vychlastat 	 vy-chlast-a-t 	 vy-chlasta-t
vychovat 	 vy-chov-a-t 	 vy-chova-t
vydařeném 	 vy-dař-en-ém 	 vydař-en-ém
vydechl 	 vy-dech-l 	 vydechl
vydávaje 	 vy-d-á-v-aj-e 	 vydá-v-aje
vydělávají 	 vy-děl-á-v-aj-í 	 vy-děl-áv-aj-í
vyhlásil 	 vy-hlás-i-l 	 vy-hlási-l
vyhodnocovat 	 vy-hod-n-oc-ova-t 	 vy-hod-noc-ovat
vyhoří 	 vy-hoř-í 	 vyhoř-í
vyjasněný 	 vy-jas-n-ěn-ý 	 vy-jas-něn-ý
vyjel 	 vy-je-l 	 vyjel
vyklopýtat 	 vy-klopýt-a-t 	 vy-klopýta-t
vykonávali 	 vy-kon-á-v-a-l-i 	 vy-kon-áv-al-i
vykramařit 	 vy-kram-ař-i-t 	 vy-kramaři-t
vykrášlit 	 vy-kráš-l-i-t 	 vy-krášl-i-t
vyl 	 vy-l 	 vyl
vylisovat 	 vy-lis-ova-t 	 vylis-ova-t
vyluhovat 	 vy-luh-ova-t 	 vyluh-ova-t
vymezovat 	 vy-mez-ova-t 	 vy-mez-ovat
vymyšlené 	 vy-myšl-e-n-é 	 vy-myšlen-é
vymáčkl 	 vy-máčk-l 	 vymáčk-l
vyměřovacímu 	 vy-měř-ova-c-ímu 	 vy-měř-ovac-ímu
vynaložením 	 vy-na-lož-en-í-m 	 vyna-ložen-ím
vynaloží 	 vy-na-lož-í 	 vyna-lož-í
vynalézání 	 vy-na-léz-á-n-í 	 vy-na-léz-án-í
vyndal 	 vy-nd-a-l 	 vynd-a-l
vynesla 	 vy-nes-l-a 	 vy-nesl-a
vynášejí 	 vy-náš-ej-í 	 vynáš-ej-í
vypancéřovat 	 vy-pancéř-ova-t 	 vy-pancéřovat
vypeckovat 	 vy-pec-k-ova-t 	 vypeck-ova-t
vypejkání 	 vy-pejk-á-n-í 	 vy-pejk-án-í
vyplaněný 	 vy-plan-ě-n-ý 	 vy-plan-ěn-ý
vyplul 	 vy-plu-l 	 vyplu-l
vyplísnit 	 vy-plísn-i-t 	 vy-plís-n-i-t
vypojovat 	 vy-poj-ova-t 	 vypoj-ova-t
vypočísti 	 vy-po-číst-i 	 vy-po-čísti
vypočítávat 	 vy-po-čít-á-v-a-t 	 vy-po-čít-á-v-at
vyprovokovat 	 vy-pro-vok-ova-t 	 vy-provokovat
vypárovací 	 vy-pár-ova-c-í 	 vypár-ovac-í
vypátrat 	 vy-pátr-a-t 	 vy-pátra-t
vypůjčil 	 vy-půjč-i-l 	 vy-půjči-l
vyrobila 	 vy-rob-i-l-a 	 vy-rob-il-a
vyrýžovat 	 vy-rýž-ova-t 	 vy-rýž-ovat
vysazovat 	 vy-saz-ova-t 	 vy-saz-ovat
vyslovený 	 vy-slov-en-ý 	 vy-sloven-ý
vyslyšeti 	 vy-slyš-e-ti 	 vy-slyše-ti
vysokoškolské 	 vys-ok-o-škol-sk-é 	 vysok-oškolsk-é
vysokoškolský 	 vys-ok-o-škol-sk-ý 	 vysok-oškolsk-ý
vysoká 	 vys-ok-á 	 vysok-á
vysokém 	 vys-ok-ém 	 vysok-ém
vyspinkat 	 vy-sp-ink-a-t 	 vy-spink-a-t
vyspravit 	 vy-s-prav-i-t 	 vysprav-i-t
vyspělým 	 vy-spě-l-ým 	 vy-spěl-ým
vystavil 	 vy-stav-i-l 	 vy-stavi-l
vystavila 	 vy-stav-i-l-a 	 vy-stavi-l-a
vystoupením 	 vy-stoup-en-ím 	 vy-stoupen-ím
vysvětlení 	 vy-svět-l-en-í 	 vy-světlen-í
vysvětloval 	 vy-svět-l-ova-l 	 vy-světl-oval
vysílací 	 vy-síl-a-c-í 	 vy-síl-ac-í
vytištěny 	 vy-tišt-ěn-y 	 vy-tišt-ěny
vytlouci 	 vy-tlouc-i 	 vytlouc-i
vytvořeno 	 vy-tvoř-en-o 	 vy-tvořen-o
vytít 	 vy-t-í-t 	 vytí-t
vytýkáno 	 vy-týk-á-n-o 	 vy-týk-án-o
vyvozovat 	 vy-voz-ova-t 	 vy-voz-ovat
vyvážecí 	 vy-váž-e-c-í 	 vy-váž-ec-í
vyzpytovat 	 vy-z-pyt-ova-t 	 vyzpyt-ova-t
vyzvracet 	 vy-z-vrac-e-t 	 vy-zvrac-et
vyčpět 	 vy-čp-ě-t 	 vyčp-ě-t
vyčísti 	 vy-číst-i 	 vy-čísti
vyřinout 	 vy-řin-ou-t 	 vyři-nou-t
vyšetřilo 	 vy-šetř-i-l-o 	 vy-šetři-l-o
vyšpehovat 	 vy-špeh-ova-t 	 vy-špeh-ovat
vyžadonit 	 vy-žad-on-i-t 	 vy-žadon-i-t
vyžehnout 	 vy-žeh-nou-t 	 vy-žeh-nout
vzdorovat 	 vz-dor-ova-t 	 vzdor-ova-t
vzdálený 	 vz-dál-en-ý 	 vzdálen-ý
vzdělání 	 vz-děl-án-í 	 vzděl-á-n-í
vzhlížet 	 vz-hlíž-e-t 	 vzhlíž-e-t
vzlínat 	 vz-lín-a-t 	 vzlín-at
vzlítnout 	 vz-lít-nou-t 	 vzlít-nou-t
vznikají 	 vz-nik-aj-í 	 vznik-aj-í
vznikla 	 vz-nik-l-a 	 vznikl-a
vzniku 	 vz-nik-u 	 vznik-u
vzniká 	 vz-nik-á 	 vznik-á
vztahů 	 vz-tah-ů 	 vztah-ů
vztekle 	 vz-tek-l-e 	 vztekle
vzteknout 	 vz-tek-nou-t 	 vztek-nou-t
vzteku 	 vz-tek-u 	 vztek-u
vzájemná 	 v-zá-jem-n-á 	 vzájemn-á
vzít 	 vz-í-t 	 vzí-t
vás 	 v-á-s 	 vás
víte 	 v-í-te 	 víte
vítkovice 	 vít-k-ov-ic-e 	 vít-k-ovice
vítkovického 	 vítk-ovic-k-ého 	 vít-kovick-ého
vítkovickém 	 vítk-ovic-k-ém 	 vít-kovick-ém
vítěze 	 vítěz-e 	 vítěze
vítězství 	 vítěz-ství 	 vítězstv-í
vítězům 	 vítěz-ům 	 vítězům
výdělek 	 vý-děl-ek 	 výdělek
výdělečných 	 vý-děl-eč-n-ých 	 vý-děleč-n-ých
výherci 	 vý-her-c-i 	 vý-herc-i
výhled 	 vý-hled 	 výhled
výhodou 	 vý-hod-ou 	 výhod-ou
výklad 	 vý-klad 	 výklad
výluka 	 vý-luk-a 	 výluk-a
výpotek 	 vý-pot-ek 	 výpotek
výsostným 	 výs-ost-n-ý-m 	 vý-sost-n-ým
výstavbě 	 vý-stav-b-ě 	 vý-stavb-ě
výuce 	 vý-uc-e 	 výuce
vývoj 	 vý-voj 	 vývoj
významu 	 vý-znam-u 	 vý-znamu
výčitek 	 vý-čit-e-k 	 výčitek
větrovka 	 větr-ovk-a 	 větrovk-a
větrů 	 větr-ů 	 větrů
všeho 	 vš-eho 	 všeho
všeobecně 	 vš-e-obec-n-ě 	 všeobec-n-ě
vševědova 	 vševěd-ov-a 	 vševěd-ova
vštípit 	 v-štíp-i-t 	 vštíp-i-t
vštěpuji 	 v-štěp-uj-i 	 vštěp-uji
vůnička 	 vůn-ič-k-a 	 vůn-ičk-a
westermannem 	 westermann-e-m 	 westermannem
whitney 	 whitney 	 whit-ney
yse 	 y-s-e 	 yse
zabedňovat 	 za-bedň-ova-t 	 za-bed-ň-ova-t
zabijeme 	 za-bi-je-me 	 zabijeme
zachmuřen 	 za-chmuř-en 	 zachmuřen
zachovávat 	 za-chov-á-v-a-t 	 za-chová-v-a-t
zachrániti 	 za-chrán-i-ti 	 za-chrán-iti
zachvěla 	 za-chvě-l-a 	 za-chvěl-a
zacloumat 	 za-cloum-a-t 	 za-cloum-at
zadek 	 zad-ek 	 zadek
zadrhl 	 za-drh-l 	 zadrh-l
zadrhnout 	 za-drh-nou-t 	 za-drh-nout
zafilosofovat 	 za-filo-sof-ova-t 	 za-fil-osof-ovat
zahanbit 	 za-han-b-i-t 	 za-hanb-i-t
zahozených 	 za-hoz-en-ý-ch 	 za-hoz-en-ých
zahradník 	 za-hrad-n-ík 	 za-hrad-ník
zahraničním 	 za-hran-ič-n-ím 	 za-hranič-n-ím
zahrnutí 	 za-hr-nu-t-í 	 za-hrnut-í
zahynul 	 za-hyn-u-l 	 za-hynul
zahájila 	 za-háj-i-l-a 	 za-háj-il-a
zahřměl 	 za-hřm-ě-l 	 za-hřmě-l
zainteresované 	 za-interes-ova-n-é 	 zaint-er-es-ova-n-é
zajatec 	 za-j-at-ec 	 zajatec
zajištěno 	 za-jišt-ěn-o 	 za-jišt-ěno
zaklenout 	 za-kle-nou-t 	 za-kle-nout
zakonzervování 	 za-konzerv-ová-n-í 	 za-konzerv-ován-í
zakopaný 	 za-kop-a-n-ý 	 za-kop-an-ý
zakopán 	 za-kop-á-n 	 za-kopán
zakusitelno 	 za-kus-i-tel-n-o 	 za-kus-i-telno
zakvílet 	 za-kvíl-e-t 	 za-kvíl-et
zakysávat 	 za-kys-á-v-a-t 	 za-kys-á-v-at
zakývat 	 za-kýv-a-t 	 za-ký-v-a-t
zalepilo 	 za-lep-i-l-o 	 za-lep-il-o
zalil 	 za-li-l 	 zali-l
zamkl 	 za-mk-l 	 zamk-l
zamotávat 	 za-mot-á-v-a-t 	 za-mot-á-v-at
zamyslel 	 za-mysl-e-l 	 za-myslel
